time_ms,chat_message,label
1780572350120,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,
1780572350151,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,
1780572350387,ㅋㅋㅋㅋㅋ,
1780572350649,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,
1780572351458,ㅋㅋㅋㅋㅋ,
1780572351607,ㅋㅋㅋㅋ,
1780572351839,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,
1780572351841,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,
1780572352145,개억지를 부려 ㅋㅋ,
1780572352432,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,
1780572352485,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,
1780572352740,ㅋㅋㅋㅋ,
1780572352913,ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,
1780572352999,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,
1780572353068,ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,
1780572353090,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,
1780572353124,190 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,
1780572353140,ㅋㅋㅋㅋㅋㅋ,
1780572353892,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,
1780572354378,엄마카세 무시하셈??,
1780572354423,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,
1780572354920,zㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,
1780572355116,ㅋㅋㅋㅋㅋㅋㅋ,
1780572355264,초딩ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,
1780572355670,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,
1780572355910,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,
1780572357170,ㅋㅋㅋㅋ,
1780572358270,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,
1780572358292,김연경은 뭐야 ㅋㅋ,
1780572358635,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,
