time_ms,chat_message,label
1783805772213,전라도분들 축구 좀 보게 어그로 그만 좀,6
1783805772234,일베 무새들 쳐내라 좀... 챗창 관리 안함?,2
1783805772272,닥쳐 시바,2
1783805772440,무섭노무,5
1783805772456,일베 개새끼들아 쳐봐라 그냥,2
1783805772958,노르웨이 일베다 쳐내,2
1783805773647,텡크로 밀어버리노!!!!!!! 스타벅스 가야지!!!!!!!,2
1783805773807,밥 배터지게 먹고옴,6
1783805773922,이런 애들이 현실에서 정상인인척하는거냐? ㅌㅌㅌㅌㅌㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,4
1783805774302,벨링엄 홀란드 누가 더 존잘임?,6
1783805774473,노?르웨이? 일베국가인가요?1,6
1783805774510,쿵쿵 盧 쿵쿵 盧 쿵쿵 盧 쿵쿵 盧 쿵쿵 盧 쿵쿵 盧 쿵쿵 盧 쿵쿵 盧 쿵쿵 盧 쿵쿵 盧 쿵쿵 盧 쿵쿵 盧 쿵쿵 盧 쿵쿵 盧 쿵쿵 盧 쿵쿵 盧 쿵쿵 盧 쿵쿵 盧,6
1783805776498,노노 거리지 말라고했다 다 신고중이다.,6
1783805776501,대세걸그룹이 될려면 말끝마다 노 붙여줘야 되는거 아니노,6
1783805776899,노드립 노잼이라니까,6
1783805777182,ㅈㄴ재미없네,2
1783805777320,일베충들 왤케많냐,6
1783805777386,홀란 개거품 ㅇㅈ???????????????????,6
1783805777735,/영포티 제거모드,6
1783805778262,ㅊ ㅕ보기 싫으면 기어 나가라 ㅋㅋㅋㅋㅋㅋㅋ,6
1783805778586,못사는 ㅅㅋ들 종특 축구에 존ㄴ 흥분함 안경 벗겨야되는대 👓,6
1783805778747,홀란 줘,6
1783805779449,어,6
1783805779522,홀란드 골,6
1783805779947,골,6
1783805780680,와,0
1783805781332,{:wc_14:}{:wc_14:}{:wc_14:}{:wc_14:}{:wc_14:},6
1783805781647,조아,6
1783805781663,아,6
1783805782922,와,0
1783805783367,와우,0
1783805783405,점프 ㄷㄷㄷㄷㄷ,6
1783805783705,해설 일베 노노노노노노노노,6
1783805783718,타점하나는 이거이거,6
1783805784171,맹글랜드,6
1783805784308,와 ㅋㅋㅋㅋ,0
1783805785100,?,6
1783805785192,아,6
1783805785414,아깝노아깝노아깝노아깝노아깝노아깝노아깝노아깝노아깝노아깝노아깝노아깝노아깝노아깝노아깝노아깝노아깝노아깝노아깝노아깝노아깝노,6
1783805785466,와,0
1783805785527,우와 좋다,0
1783805785620,노 네 지금 무  라고 현 노???,6
1783805785711,오우,0
1783805785771,오,0
1783805786029,와,0
1783805786055,막네 ㅋ,6
1783805786100,이야,0
1783805786245,아오;;;;;;;;;;;;;,2
1783805786324,오,0
1783805786386,우와,0
1783805786487,아,6
1783805786523,홀란!,6
1783805786540,깨끗한 채팅합시다 경상도 일베충 사투리 자제 부탁드려요,6
1783805786561,아,6
1783805786590,와,0
1783805786615,으아,6
1783805786621,홀란ㅋㅋㅋ,6
1783805786801,오아ㅓㅏ앙ㅋ,6
1783805786854,크,0
1783805787030,오,0
1783805787129,아 ㄲㅂ,3
1783805787157,오오오오,6
1783805787237,와,0
1783805787316,골 ㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅ,0
1783805787323,와,0
1783805787409,ㄲㄲ,6
1783805787440,ㅋㅋㅋㅋ,6
1783805787465,와우,6
1783805787703,dhk Tl,6
1783805787739,ㄲㅂ,6
1783805787798,와,0
1783805787801,오우,0
1783805787907,와,0
1783805787947,오우야,6
1783805787961,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0
1783805788169,와,0
1783805788171,오 ㄷ,6
1783805788199,와,0
1783805788201,홀란,6
1783805788269,오,0
1783805788318,ㄲㅂ,6
1783805788336,점프 미쳤다,6
1783805788394,와,0
1783805788407,와!!!!,0
1783805788575,ㄲㅂ네,6
1783805788621,적 ㅔ닿내,6
1783805788680,오우,0
1783805788883,오우,0
1783805788988,와,0
1783805788998,오..,0
1783805789034,노 라고 쓴거 무슨 이유로 신고하노???,6
1783805789062,씨,6
1783805789120,ㄲㅂ,6
1783805789133,와,6
1783805789182,ㄲㅂ,6
1783805789217,ㄲㅂ,6
1783805789232,너무 정면,6
1783805789244,개까비,6
1783805789286,오,0
1783805789315,노딩,6
1783805789370,오오오,0
1783805789375,와 ㅁㅊㅋㅋㅋ,0
1783805789417,와 ㅋㅋ,0
1783805789435,ㅅㅅ,0
1783805789484,와ㅣ아아아ㅏㅇ아,0
1783805789518,와 ㄲㅂ,6
1783805789577,와,0
1783805789849,오,0
1783805789890,오유,6
1783805789930,/영포티제거모드,6
1783805789971,어우,6
1783805790000,오,6
1783805790012,보지냐,6
1783805790084,홀랑~~~~!!!!,6
1783805790131,ㄲㅂ,6
1783805790149,와,6
1783805790226,부엉이는 어떻게 우나요,6
1783805790239,골 ㅅㅅㅅ,6
1783805790260,와,0
1783805790340,와 ㅋㅋㅋㅋㅋㅋ,0
1783805790526,와 이걸막네,1
1783805790538,와,0
1783805790539,ㄷㄷㄷ,1
