chat_message,label
채팅제거 시바롬들아 그만해라 좀,2
마하반야민,6
어....,1
개웃기네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0
ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0
조아요!,6
니들은 그냥 져라 ㅋㅋ,2
오늘 코스피 5%가 올랐었어요 ㅋㅋㅋ,6
와 ㅅㅂ ㅋㅋ,1
이런거 첨보네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0
삼성전기…,6
누군가는 -7에 팔았다가 +4에 샀다가 다시 팔았을건데,6
큰손 슈카형도 안사면 코스피 3000간다 마통영끌해달라하자,6
삼각수렴중인데 암만봐도 하방임,6
찐바닥?,6
나가라 정몽규 홍명보,2
홍명보 구속~~,4
국장이 단타의ㅜ장이 됐구나 ㅠㅠ,3
티슈로 학폭터짐?,6
그럼 바로 밴이잖아요 ㅠㅠ,5
노르웨이 선제골 ㅅㅅㅅㅅ,0
흥민이 빼야 돼,6
개 지렸네,1
{:d_185:}{:d_185:}{:d_185:}{:d_185:}{:d_185:},6
애미뒤졌나,2
잉글랜드 모다네,6
"기회도많았는데 한골먹히네,.,",3
교체좀해라 제발,2
수급좀~~~~~~봐주세요~~~~~~~~,6
하닉코인. 가나요?,6
신기하너,6
뭐이씨 속으면 안됨? ㅠㅠ,3
저거먹히냐 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,2
아다리 좋았네,6
이제 소리 내도돼 ㅋㅋㅋ,6
어뜨케…. 진짜,3
훈수는 밴이에요,6
노르웨이 뭐야 ㄷㄷ,1
용뺏겨서 ㅅㅂ하,2
과자가 넘어가냐!!!,6
ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0
지고있네 ㅠㅠ,3
갑자기 보기싫네,4
무지개배경 어딨어,6
크로스가 안올라간거 자체가 변칙이다 진짜... 대단하다,1
{:d_134:}{:d_134:}{:d_134:}{:d_134:},6
내같으면 설영우 백승호 이런애들 안쓴다,6
잘찬노,6
훈수라고 밴하잖아요 ㅠㅠㅠ,3
걍 일본에서 방송한다는데,6
주주환원 자사주소각,6
교체좀해라 제발,2
코우커,6
못해요.. 난 아니여 ㅠㅠ,5
인버스로 다 몰려갔나봐요,6
형 분봉 지금이야!!!!!!!!!!!!!!!,1
일찍이 이런 하락은 없었다,6
전 전생에 물고기였나봐요 .. 파닥 파닥 ㅜㅜ,3
알간?,6
걍 ㅈㄴ못함 ㅄ들,4
무빙 토나온다,4
가난,6
와 차트 꼬라지 보소,2
가왕 ㅋㅋㅋ,6
윤가,6
껄껄~~~,6
어이쿠 ㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷ,1
저걸 안사?,6
모 치즈 키,6
담배값 소소히게 벌어갑니다 ~~ 인간쓰래기들,6
케인아 찌질하다,6
ㅋㅋㅋㅋ 누워있다 골먹혔네 ㅅㅅㅅ,6
날 떠난다는 그 여자,6
진짜 홍명보 쳐 나가라,4
잘하네??,1
나가라 정몽규 홍명보,2
티원 폼이 안좋네..,3
재밌겠다,6
맨날 뒤로만 ㅉㅉ,4
재경기 브즈엉 경기,6
안오는데?,6
도박장ㅋㅋ,6
음봉 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,1
병신들,4
ㄹㅇ ㅋㅋㅋㅋ,0
그만 누워라 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,4
와우 대박이노,0
ㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅ,0
고점에서 팔고 저점에서 사면 되잖아,6
정몽규 나가!!!!,4
머야이게 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,1
세레모니 스킵 s,6
수비 5명 벙찌고 있노 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,2
태석이 빼라,4
사면물리네..낚시장 ㅜㅜ,3
고지대 일찍 가서 적응보다 오늘온 체코가 더 잘한다??????????????????????????????????????????????,1
똥칸에 숨어.,6
염색해드리고 싶응데 방문해도 될까요?,6
아우 ㅠㅠ,3
황금고블린,6
어케넣었누 어케넣었누 어케넣었누 어케넣었누 어케넣었누 어케넣었누 어케넣었누 어케넣었누 어케넣었누 어케넣었누 어케넣었누 어케넣었누 어케넣었누,6
웃냐는사람매일잇네 ㅋㅋㅋㅋㅋ,6
이게뭐냐고ㅡㅡ,2
ㅋㅋㅋㅋㅋㅋ 롱숏대결,6
자야된다구웃,6
재경기 ㄱㄱ,6
ㅈㄴ 무섭네 ㅋㅋ,5
와 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,1
힝..,3
아사람 지금 밴유도 하는겁니다 절대 알려주면 안 돼요 ㅎㅎ,6
셸데르크 왜케 고딩같이 생김,6
ㄷㄷㄷ 엇박나면 바로 한강각인데,1
그만빠져라 ㅠㅠ,3
진짜 전형적인 개잡주 무빙이다,6
트로사르,6
슈도준!,6
바 진우,6
시장에서 야바위가 맞출 확률이 더 높겠다,6
교체좀해라 제발,2
슈사장님 살려주세여,5
노르웨이 일베다 쳐내,2
망함,5
지린다 ㅋㅋ,1
스피드런 하죠,6
흑흑,3
비-상,5
나락 ㅋㅋ,6
직업이셔?,6
키퍼 븅신이네,4
진격거 ㄷㄷ,1
다라이 살벌하네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,1
바지,6
국장은 답이없다,2
살려주세요 !!!!!!!!!!!!!!!!!!!!!,5
삼성전기 작살남,6
바누지,6
옌스 써라 땡보야,6
저도 첫번째에 속아서 갸처물림,2
장 마감 빨리오렴 ㅠㅠ,5
나이스샷 ㅋㅋㅋㅋㅋㅋ,0
그럼 보는거지,6
공 건드렷음 뭔 파울임,6
물먹랜드,6
안타면 풀반등이다,6
형은 시드가 무한이야?,6
와 ㅁㅊㅋㅋㅋ,0
방음부스에요,6
미친,1
ㅁㅊ 대박,1
제가 해드릴까용{:d_52:}{:d_52:}{:d_52:},6
불끄고,6
{:wc_9:}{:wc_9:}{:wc_9:}{:wc_9:}{:wc_9:}{:wc_9:}{:wc_9:}{:wc_9:}{:wc_9:}{:wc_9:},6
두번죽임ㅠㅠ,3
땅 명보 꼬올,4
핫도그 ..?,6
전쟁 터지려나,5
안들리네,6
공략 봤네,6
펜데믹 메타버스 차트아님?,6
ㅈㄴ웃기네 ㅋㅋ,0
치트엔진은 ㅋㅋㅋ,6
노 르웨이 ㅅㅅㅅㅅㅅㅅㅅㅅ,0
싸워 화장실에서 싸워,6
하... 내일 모르겠다,5
네이버는 오른것도 없는데 왜이래요.......,5
지린다ㄷㄷ,1
그만사줘 ㅠㅠ,3
애니비아나 쳐물지,2
전기 죽어여.ㅠ,3
미친,1
저런...,1
시발 존나무섭네 ㅋㅋㅋㅋㅋㅋㅋ,5
살려주세요~~~~~~~~~~~~~~~,5
보기싫어 ㅠ,3
취소 ㅅㅅㅅㅅㅅ,0
모찌론,6
정몽규 보여주자 마자 골먹네 왜 보여줬어,4
레츠고 지투 레츠고 지투],6
도발 ㄷㄷ,6
뭔 맨날 반대매매만 생각하노,6
그걸 어떻게 먹어요,6
몽구 나오고 골 먹네,6
다라이 살발하노,5
배당룰 0.1% 돈 60조 벌고 주주환원 계획조차 없음,6
ㅜㅜㅜㅜ,3
짜증나,2
앗싸! 한국 축구 망했다!!!나이스!!!!,3
습니다,6
이론상 한달이면 일론머스크 딸 수 있음,6
인버스도 국장이다! 인버스 가즈아!!,0
대 황 란 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,6
뭐이씨 속으면 안됨? ㅠㅠ,3
토가시?,6
고민맨,6
미친 슈팅이네;;;,1
오이데~~~~~~,6
아 줴줴이야~,6
어케 저걸 다 먹어,6
지금왔는데엔딩보기전인가요후인가요진짜몰라서여쭤봅니다지금왔는데엔딩보기전인가요후인가요진짜몰라서여쭤봅니다지금왔는데엔딩보기전인가요후인가요진짜몰라서여쭤봅니다지금왔는데엔딩보기전인가요후인가요진몰,6
그냥 가야지,6
전 전생에 물고기였나봐요 .. 파닥 파닥 ㅜㅜ,3
몽규 잡히자마자 ㅣ발,2
체코 작전 전반하고 똑같은데 그걸 대비 안 하네 명보,6
엄청 어리네 ㄷㄷ,6
유교라,6
얘는 소리 못듣는 괴물이지않나,6
음봉 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,1
개웃기네,0
인버스도 국장이다! 인버스 가즈아!!,0
개처웃기네,0
3패각,6
너무 작아졌어,6
저거 파울이라는 애들은 축구보지마라 ㅋㅋㅋ,6
ㅎㄷㄷㄷㄷㄷ,1
걍 용먹고 빠지지,6
보고잇엇노,6
반칙이네 걷어참,6
도둑과 경찰이잖아 칸막이ㅠ안에 숨는거ㅠ아님?,6
황말올,6
