time_ms,chat_message,label
189549,과자 먹지먹고 끼니 챙겨먹으란 소리임 ㅋㅋㅋ,6
189887,살려줘요ㅠ,5
189985,누가 먹지말라했냐,6
190013,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0
190344,ㅋㅋㅋㅋㅋㅋㅋ,0
190474,밥 잘넘어 가던데요 ㅋㅋㅋ,0
190497,밥이 안넘어가서 과자먹쟈너,6
190509,웃음이 나오냐?,2
190766,오늘도 부흥회 한 번 더 조지시나요?,6
191470,과자가 넘어가니 아직 괜찮아보여용,6
191554,맛있게 넘어감,6
191759,!!!!!!!!!댕신은 원금 날린 거 아니잔ㄹ아욧~!!!!!!!!!,6
191905,삼성전기 살려주세요,5
192298,먹긴해야지,6
192312,직원한테 커피 시키냐...악덕업주네,6
192447,잠좀 잣나요?,6
192717,저 과자 1억 넘는다고 ㅋㅋ,6
192775,먹어야지 먹는거가지고 그러지마유,6
192852,과자가 넘어가냐!!!,6
192963,밥으로 드세요!!!! 시황겸 먹방 가시죠!!!,6
192993,살려주세요~~~~~~~~~~~~~~,5
193045,아 개웃김,0
193143,환율은 왜이렇게 떨어지는거지,2
193294,ㅎㅎㅎㅎㅎㅎㅎㅎㅎ,0
193316,야이씨 ㅋㄱㄱ슈카 ㅋㅋ,6
193471,어제 -1800손절... 솔직히 고점에서 마이나스로 깎인건 손실아니자나 ... 원금이 까져야 손실,6
193563,먹고살자고 하는건데,6
193956,형 하이트 진로 살까???????,6
194281,그래도 여기서는 잘 버티는데,6
194408,다먹고살라고하는거져!!,6
194521,과자 살돈은 있나봐?,6
194704,다들 왜이리 날이서있어ㅡㅡ,6
194848,형 참아 참아,6
195043,다 먹고살자고 하는거지..,6
195138,오리온 살까요?,6
195555,어 내려간다,6
195808,슈카님 오늘 하이닉스 136 신용 풀매수 땡겼습니다~함 드가자아,6
196034,제발 과자 먹어주세요,6
196851,기도,5
196899,새벽3시에 왠 방송,1
197098,여긴 전쟁터야,6
197218,밥은 줌니까~,6
197974,저 진짜 환불해야하는데 어디가야하죠?,6
198197,환불절차 좀 알려주세요,6
198452,기술적인 반등은 올까요,6
198536,과자 먹어줘요 요즘 제 최애는 붕싸가됨ㅋㅋㅋ,6
198674,건강 잃으면 다행이지 돈잃으면 속쓰려,6
199069,먹으면서 해주세요,6
199461,라면앤김밥이라도 드셔요,6
199526,왜 화풀이를 슈카한테함? 지능수준보소,6
199786,살려주세요~~~~~~~~~~~~~~,5
199841,뭐라도 먹어야지 ㅋㅋㅋ,6
200019,먹고 기도하죠,6
200338,ㅋㅋㅋㅋㅋㅋㅋㅋ,0
200384,난 반도체도 아닌데 왜떨어지냐 ㅜㅜ,3
200734,제발 살려주세요,6
200828,과자가 넘어가????? 밥을 먹으라고!!!!!!,6
200860,환율살려,5
200891,슈카형 오늘 올라간다고 봤는데 떨어지니 표정이 ㅋㅋㅋ,6
201257,과자는 먹게 냅둬라!!,6
201520,오늘 시장 어제보단 나쁘지않은데,6
202200,밥 먹어요. 과자 말고.,6
202274,형님 먹어야 삽니다,6
202521,살려주세요 어제처럼,6
202655,먹는데 왜 건드려,6
202872,2시 원정대 안오나요?,6
203089,울 슈카님 넘 안쓰러워ㅠㅠ,3
203802,이 상황에서 작심 발언을 안하는게... 안되지,6
204050,삼전 컨콜듣고 하닉에서 바로 갈아탐.하닉은 평생 다시 200만원안온다,6
204158,먹고 살자고 하는건데 ㅠㅠ,3
204229,슈카님 표정이라도 밝게해주세요 안그래도 무서운데 더무서워져요 ㅠㅠ,5
205342,화가많이나죠? 서영락대리?,6
205395,하닉오하닉,6
205632,삼전도 잘 버티고,6
206045,무슨 이런장이다있냐ㅐ,6
206050,내려간다 내려간다,6
206165,먹고는 살아야지 다 먹고살려하는건데 말야,6
206334,사람들이 화가 많이 나있어 ㅋㅋㅋㅋ,6
206399,삼성전기 말이 되나요?? ㅠㅠ ㄷㄷㄷㄷㄷ,3
206420,형 ㅠㅠㅠㅠ페,3
206627,살려주세요~~~~~~~~~~~~~~~,5
206651,진짜 과호흡옵니다,6
206667,전 제 원금 까이는거 과자먹으면서 보는중 ㅋㅋㅋ,6
206895,과자이야기 하는 댓글 치워라!!! 슈카님 그냥 드세요,6
207196,이케 계속 기다려야 하는건가??????,6
207585,살려줘~~~,5
207683,-2%를 보고 오늘은 얼마 안내렸네 라고 생각하는 내 자신이 놀랍네요 ㅋㅋㅋ,6
207764,하닉이 문제네,6
207820,5720에 물탔어요 살려줘요,6
208580,빈센트 jtbc 나와서 아직도 사라고 무조건 사라고 하던데 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ진짜 맛간,6
209029,사장님 그만개롭히십쇼,6
209082,그래도 사람이 살아야지 과자 먹는걸로...,6
209203,왜 화를 남한테푸냐,6
209512,형 참아 참아,6
209624,ㅋㅋ 커피시킨다고 악덕업주 이러고있네 ㅋㅋㅋㅋ,6
210478,주식창 안보려고 하는데 자꾸 방송을 키시니까 볼수 밖에 없자나요 ㅋㅋㅋㅋ,6
210545,잘긁히네 오늘,6
211607,그리고 살려줘,6
211943,커피 니가 타먹어..왜 직원시키냐고,6
212294,하이닉스 임마 개청년,6
212361,제발먹어주세요,6
212661,먹는걸로 갈구는 건 너무하네. 먹고 살아야지...!!!먹는걸로 갈구는 건 너무하네. 먹고 살아야지...!!!먹는걸로 갈구는 건 너무하네. 먹고 살아야지...!!!먹는걸로 갈구는 건 너무하네. 먹고 살아야지...!!!,6
212859,다 팔고 나가야할까요,6
212870,다들 왜 화를 여기다 내요,6
213181,인버스 고점 넘길려고 계속 도전하네,6
213553,어제처럼 팍 밀지는 않는데,6
213588,살려주세요,5
213799,형 분봉 지금이야!!!!!!!!!!!!!!!,1
214496,슈하~~,6
214568,슈카님 수급좀 봐주세여,6
214785,형 오히려 이슈가 다 사라지면 좋을까요?,6
215014,빈센트 jtbc 나와서 아직도 사라고 무조건 사라고 하던데 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ진짜 맛간,6
215374,슈카 오니 개반등하네 ㅋㅋㅋ,6
216135,진정해~~,6
216760,이게 무슨 계단식 하락임 절벽식 하락이지ㅜㅜ,3
216959,니니 출근은 하나요?,6
217962,박살나는중,2
218258,달러왜캐빠짐,1
218284,오늘 축제인가요??,6
218682,삼전 방어력 ㄷㄷ,6
218702,살려주세요,6
218759,슈형 시장 이정도면 작동을 안하는거 아닌가요?,6
219257,순환매돈다,6
219397,너무힘들어요,3
219548,금에 물렸어 금속은 안 문다며,6
219691,모든 걸 어제 오후랑 똑같이!~~,6
219693,잘 드셔야 건전한 생각과 올바른 판단을 할 수 있습니다~,6
219802,시장보면 뭘 아냐,6
219993,영업이익 8조 창신 메모리 시총 800조. 여업이익 90조 삼전 시총 1200조,6
220118,슈카 오면 반등한다,6
220462,니니님은 어디갓어요,6
220651,살려주세요ㅕㅕㅕㅕㅕㅕㅕㅕㅕ,5
220717,삼성전기 난리났어 ㅜ,3
220798,물린놈들이 아주 귀족이여,6
220974,오늘 수급 개미가 많이 파네요,6
221163,알상무의 시대가온건가,6
221312,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0
221466,하닉 130은 아니잖아 ㅜ ㅜ,3
221512,슈카님 근데 시황 이거 왜 해요??,6
221688,슈하,6
221842,슈카님~~어제처럼 코스피 살려주세요♡♡,6
