time_ms,chat_message,label
240502,대하닉 대하닉,0
240957,힘빠진다 ㅠㅜ 으에에에,3
243252,불안한데.. 구름대 머리 맞고 내려왔는데,5
243271,그전에 올린다 다음주부터 올린다,6
243747,또 꺾인다~~~~~~~~~~~~~~~,2
244082,아,6
244557,코인 왜함?,6
244577,요상하게 어마무시하게 잃고 가슴앓이하다가도 슈카님 니니님 보면 기분이 풀려,6
245504,살껄`,6
248831,또닥이 재밌겠다,6
249417,설마 또 내리지 않겠지 ㅠㅠ 망.. ㅠㅠ,3
250844,재석이 돈벌라고 내가 광고 스킵안하고 다 보고왔어,6
250924,저게 뭔데?,6
251117,그냥사고 묻어라 쫌,2
252096,누군가는 -7에 팔았다가 +4에 샀다가 다시 팔았을건데,6
252168,신난슈카,6
252181,존나 재미있어,0
253645,영차방송 ㅋㅋ,6
253823,레버리지 다털린거아니야?? ㅋㅋ,6
254515,찐반 맞나요,6
255571,아직 끝났게 아닌다 번지대 일수도 있음 ㅋㅋㅋ,6
256937,거긴 지옥임,6
257395,레 버러지,6
257467,또 꺾인다~~~~~~~~,2
258204,CB400SF E-Clutch,6
258230,"외인 ,기관만 장난 안치면 갈수 있다고 ㅠㅠㅠ",3
259187,이게 코인이지,6
260440,레버러지,6
260692,삼닉 레버리지 개폭락하네ㅎㄷㄷ,1
262857,단타 잘하시는.분들 부럽네요 ㅠㅜ,3
263204,레버리지 털이용 주식장인가,6
263562,이렇게 오락가락하면 된느데 요근래 너무 내리기만,6
264659,지옥문 오픈,6
266417,슈카 샀네,6
267002,구경하는 사람은 꿀잼이었겠네 ㅎ,6
267664,레버는 남아있질 않겠는데?,6
268103,2배레버는 조울증 걸리겠네 ㅋㅋ,6
270490,뭐지 멀미나겠네 주식,6
270690,또 떨구는데효,6
271361,래버는 ㄹㅇ 다 쥐졌다 ㅋㅋ,6
271733,슈카형 어떡하죠,6
272497,슈카 저가매수 했네,6
272838,저 인생 20년 뒤로갔어요 위로좀,6
273826,형 양봉망치캔들인데?,6
273940,니니근황 궁금,6
274162,봉만봐도 웅장하다,6
275060,당일 청산도 가능했겠네,6
276056,진짜 강원랜드 왜 감? 손쉬운 카지노가 핸드폰만 켜도 있는뎈,6
276113,레버리지가 저 무빙을 따라갈려나,6
277768,레 버러지,6
278480,지수 다시 꺾일라 하네 ㄱ,6
280300,히힉...,5
280602,오늘도 아까 살 껄인가. 도대체 껄껄껄,6
280720,22%와리가리,6
281507,슈카형 양봉망치캔들마무리하면?,6
282769,이고 진짜에요?,1
282852,진짜 코인 광기였을 때 같네 ㅋㅋ,1
283301,레버리지는 돈 0됫겟다,6
283955,어우 레버리지 녹았네,6
284164,정부 눈치보고 삼전하닉으로 지수 조절하는 거지 속지마라 사면 물린다,6
284508,레버리지는 이미 가신분들,6
286963,진짜 오르락 내리락 너무심하넹,6
287329,양봉 망치캔들 마무리하면?,6
287581,코스피 음전 간다,6
290365,비ㅣㅣㅣㅣㅣㅣㅣㅣㅣ상,5
291322,분봉 진짜 레전드,1
293554,돈다녹겟네,2
294292,고점대비-67,6
294296,코인 거래소에서 skhy 선물 롱숏 해보면 아주 끝내줘요,6
294833,저따구로 나오는 거 자체가 장난질 이라는 증거,6
296211,지린다,6
296213,무섭다.. 난 안되겠다..,5
296332,초과이윤 토론회 진짜 미친다 ㅋㅋㅋ 공산당이 따로 없네,6
296478,제발 더 올려주세요,6
297541,레버리지 하지말라고 혼내는거임 ㅋㅋㅋ,6
298253,제발,5
298877,레전드네,1
298953,저는 곧 현대차 들어가려고.. ㅎㅎ,6
299352,양봉 망치캔들,6
299493,30프로 ㄷㄷ,1
299905,이것이 K국장?,6
300249,ㄷㄷ,1
300339,ㅋㅋㅋ,0
300472,돈버는 방법은 다 있네,6
300606,코인은 안전자산이다,6
301071,슈카님 반갑습니다~ 어려울때 함께 해주셔서 감사해요!,6
301253,얘넨 이제 시황방송 전문채널됏네,6
301623,제발 더올려주세요,6
302180,상한가 ㅋㅋㅋ,6
303255,상한가,6
303435,30%를 왔다갔다 이게 개잡주지,6
304302,레버리지 한 사람 여럿 초상났겠다,6
304789,이건 도박이야,5
305481,2시간에 28 ㅓ,6
305826,개미가사면 내리고 외국인기관이사면 오르고,6
307719,28프로? 우와,6
308548,내일 다시 떨어질거같아ㅠ,5
308584,도박장이여,6
309806,레버리지 어떻게 돼야 하지,6
310857,장투는 진짜 답이없네 ㅋㅋ,2
311249,장 마감 빨리오렴 ㅠㅠ,5
311728,양봉망치캔들,6
312228,아래서 사면 거의 상친거임,6
312582,도박장이여,6
313813,와 제1원칙 절대 국장을..,6
313859,녹아내렷쪄여,6
314149,거의 바카라,6
314324,슈카님 요즘 항셍 좋지 않나요@@,6
314433,?,6
315686,말이 되나,6
316472,하.. 이게 뭐라고 ㅠㅠ,5
317627,이게 도박이야 주식이야,5
319168,어제는 홀 오늘은 짝 내일은 홀 모레는 짝,6
319711,하닉 무빙 돌음,6
321303,도박장ㅋㅋ,6
321396,레버리지좀 사지마라,6
321484,역시 자네야 k주식이지,6
322302,형 어케생각해? ㅋㅋ,6
322773,코인은 soxl 50배도 잇다 코인이랑 비교 말아라,6
322794,이러니 레버리지 하지,6
323012,미쳐버린 변동성 ㅋ,6
323028,미장이에요?,6
323050,무빙이 급등주 무빙이네,6
323532,2시간에 상한가를 벌수있는 방법?,6
325662,잡주 무빙 ㅋㅋ,6
325662,슈형이 계속 방송 키는거 보니 레알 ....비상상황이구나,6
326498,"와 레전드네,.,",1
327771,이딴게 주식?,2
327980,카지노다 카지노 ㅋㅋ,6
328195,무빙 토나온다,4
329319,레버는 지옥이예뉴,6
329346,이러니 코인을 아무도 안하지ㅋㅋ,6
330495,레버레지 50 인번스 50 가면 굿,6
331408,니니씨익,6
332100,코인도 이러면 스캠소리듣는다.,6
332244,쌍방으로 다발라먹네,6
332916,내일은 짝,6
334144,다이나믹하네,6
335141,이게 대한민국이지 ^^,2
335894,이 형이 이시간에 계속 키게 만드는 이사태,6
336320,도박장,6
338383,코인도 이정도는 아닌데,6
