time_ms,chat_message,label
4620283,??,6
4620483,미친 물뭐야 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,1
4620666,가자,6
4621483,자 다음,6
4621483,흥ㅡ건,6
4621666,오이데,6
4622083,가야지 가야지,6
4622266,콜라 먹음?,6
4622483,여긴 또머여,1
4622483,ㄷㄷ,1
4622483,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0
4623083,ㅎㅇ,6
4623083,두가자~,6
4623266,ㅋㅋㅋㅋㅋㅋㅋㅋ,0
4623266,/박수/,6
4623483,또 가야제,6
4623616,ㅈ댓다,5
4623866,시원하다,6
4624266,와,1
4624483,ㅋㅋㅋㅋㅋㅋㅋㅋ,0
4624683,ㅋㅋㅋㅋ,0
4624866,화장실,6
4625083,화장실,6
4625283,형 괜찮아??,6
4625466,물바다ㅅㅅ,6
4625866,오물?,6
4625866,헉,1
4625866,ㅎㅇ,6
4626083,자 다음 가야지?,6
4626283,첨벙첨벙,6
4626683,머고 ㅋㅋㅋㅋ,1
4626883,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0
4626883,장실타임,6
4627083,화장실 ㄷㄷ,1
4627283,가야제 가야제~,6
4627683,더 뱃드룸~,6
4627883,ㄷㄷ,1
4628283,지수구존,6
4628283,ㅈ댓다 물뭔데 이거 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,5
4628483,3ㄷㄷㄷㄷㄷ,1
4628683,ㅋㅋㅋㅋ,0
4628683,ㅋㅋㅋㅋㅋ 두가자,0
4629066,장실,6
4629283,배뜨룸,6
4629683,홍수,6
4629883,테잎이 아홉개까지 삽입하나,6
4629883,응 또 시작이야~~~~,6
4630083,물이다,6
4630883,물이야 이번에는?,6
4631083,화장실ㄷㄷ,1
4631083,엔딩아니엇어/,6
4631483,화장실이 진짠데,6
4631483,이제 소리 ㅈㄴ질러야지,6
4632083,찰박찰박,6
4632283,지수구 맵,6
4632683,배뜨룽,6
4632683,첨벙첨벙턴,6
4632883,ㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅ,6
4633083,그곳 ㄷㄷ,1
4633383,쌋다나,6
4633383,자 드가자~~~~~~~~~~~~~~,6
4634466,첨벙첨벙턴,6
4634466,물이샛나,6
4635283,그만하고싶제~,6
4635483,장실타임,6
4635883,화장실이 진짜지.....,5
4636083,첨벙첨벙 소리 개빡이다 ㅅㅂ,5
4636283,30비명이라뇨 120비명 예상,6
4636283,ㅆㄷㄴ,6
4636883,오늘 화장실당번 석윤이~~~~~~,6
4637283,ㅈㄴ재밌네,6
4637483,수영장이네,6
4638283,물소리 나는건가,6
4638683,여기 뭔데,6
4639083,시작부터 분위기 바라,6
4640483,가♡oat,6
4640683,누수,6
4641083,첨벙첨벙턴,6
4643283,오늘의 당번 떠규니,6
4644883,분위기 바라,6
4646100,ㄷㄷ,1
4650300,홍수 홍수,6
4650900,수이,6
4650900,화장실 개 넓네,6
4651883,가자,6
4652083,화장실이 머이리 크다냐,6
4652283,쉬이,6
4653100,똥누는곳 오픈되어있네,6
4653100,물이 한바가지네,6
4653283,ㅆㄷㄴ,6
4653833,누가 물안잠궜냐,6
4654700,ㄷㄷ,1
4655283,아까보다더무서운데 비상등,6
4657100,쉬이이이,6
4659900,쉬이이이이,6
4660500,여긴 나도무섭던데,5
4661500,재난 상황 홍수,6
4661500,무기야?,6
4663100,형 밥먹던곳 아님?,6
4663500,의자는 왜?,6
4665900,ㅋㅋㅋㅋㅋㅋㅋ,0
4666100,누가 변기에 티슈 넣었나,6
4668100,의자가 떠다녀,6
4668900,ㅋㅋㅋㅋㅋㅋㅋㅋ,0
4669500,호신용의자 ㄷㄷ,1
4669700,wwe 하나,6
4670700,설마 방패임?,6
4673900,화면 최대한 가리려는건가,6
4674700,여기 새해대기방맵이네,6
4676700,던지고 튈려고,6
4678300,오,6
4679100,의자머고 ㅋㅋ,6
4680300,던질려고,6
4680700,ㅈㄴ무서움 여기,5
4680900,변기물 내리면 어케됨?,6
4681100,좀 무서운데,5
4681500,헉,1
4682100,뭔소리야?,1
4683100,?,6
4683883,의자 자랑,6
4685300,무슨 소리야?,1
4686100,선물,6
4686316,어,6
4687100,괴물이다,6
4687316,ㅋㅋㅋ,6
4687916,막은거?,6
4688500,헉,1
4688716,온다,5
4690100,온다,5
4691116,헐,1
4691700,ㄷㄷㄷ,1
4691700,표정 ㅗㅜㅑ,6
4691700,온다,5
4691900,뭐가온다,5
4692716,헉,1
4692900,벽컨 ㄱㄱ,6
4693500,히이익,6
4695500,헛,6
4695716,ㄲㄲㅁ,6
4695716,ㄷㄷㄷ,1
4695716,뭔가 온다,5
4695916,ㄷㄷㄷ,1
4695916,헉,1
4696916,구어어어어억,6
4697100,허게,6
4697100,와 ㅅㅂ 뭐야,5
4697316,와,1
4697916,?,6
4698316,응?,6
4698516,ㄲㄲㅁ,6
4698700,뭐야,6
4698700,얼굴 함 보여주세요,6
4699300,예?,6
4699300,ㄲㄲㅁ,6
4699516,온다,5
4700300,와 ㄷㄷ,1
4700300,ㅅㅂ뭐야,1
4700500,ㅎ2,6
4700500,헉,1
4700716,헉,1
4700900,?,6
4701516,온다,5
4701716,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0
4701716,소리보소,6
4701900,와 ㅅㅂ 뭐야,6
4703116,변기물 넘쳣,6
4703116,진격의거인,6
4703550,왜 화나셨지,6
4703933,머로,6
4704916,응?,6
4704916,소리봐라 ㄷㄷ,1
4705516,오나?,6
4706100,ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0
4707116,으악 ㅅㅂ,4
4707316,표정ㅋㅋㅋㅋㅋㅋㅋ,6
4707516,지레기통,6
4707516,쫄 쫄 ㅋㅋ,6
4707700,왜 아직도 말 안하세요 ㅋㅋㅋㅋㅋㅋㅋ 마이크 쓰는거 끝났는데,6
4707916,새로운놈보자,6
4708116,얜뭐야ㅋㅋㅋㅋㅋ,6
4708300,ㄷㄷㄷ,1
4708900,표정 ㅋㅋㅋㅋ,6
4708900,헉,1
4709516,이제 말해도 되지 않나요,6
4709516,줴줴이야,6
4709516,소리봐라,6
4709916,ㄱㄴ?,6
4709916,옆인가,6
4710900,잠수 ㄱ,
4710900,에렌,6
4711500,뭐여? 공룡이여?,6
4712116,짐승거인 ㄷㄷ,6
4712716,/헉_s//헉_s//헉_s/,6
4713516,물개?,6
4713516,지레기통 변신 ㄷㄷ,6
4713716,말해도 된다고 ㅋㅋ,6
4713916,괴물현님 진죠내,6
4714316,뭐야 ㅅㅂ 조졋,6
4714716,호프급,6
4714716,ㄱㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0
4715116,지레기통 ㄷㄷ,1
4715316,기괴하다,4
4715700,퓨정 ㄷㄷ,1
4716116,괴물 익사,6
4716116,우옮옮,6
4716116,표정 ㄱㅇㅇ,6
4718116,습레기통 분장 지멜레온,6
4718316,/쫄피티//쫄피티//쫄피티/,6
4722516,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0
4724916,싸우자,6
4725916,방금 그르르 소음,6
4729716,헉,1
4729916,이제 소리 내도돼 ㅋㅋㅋ,6
4730116,불좀 키고다니자,6
4730516,그르르르,6
4731116,여기도 소리인가,6
4731316,싸워,6
4733316,수색 수색 수색,6
4738516,어어?,6
4739716,괴물 발목물에 익사하다,6
4741116,말좀해 방송해야지 형 ㅋㅋㅋㅋㅋㅋ,6
4741733,어 의자 누웟다,6
4741733,의자 어디갔어,6
4742516,이제뛰어야하는거아님?,6
4746916,뭔데,6
4747733,여기 구간 좀 어려울텐데,6
4747916,근데 피티형 은근잘하네ㅋㅋ금방깨겟네,6
4748133,뭔소리임?,6
4748333,누가 양치하나본데,6
4754916,뭔가있다,6
4757733,마빡이 양치소리,6
4757933,숨어잇,6
4759533,뭔가뭔가임...,6
4760116,똥이 잘 안나오나,6
4760716,이제 말해도됨 ㅋㅋㅋ,6
4761333,와 근데 물소리 오지게 나네 걸을때마다,6
4762133,안 보이는데 어딧노,6
4766933,어어 온다,6
4767533,키가 작아진거같아,6
4767933,온다,6
4768116,헉,1
4768116,소리 개빡,6
4769133,어디야 ㅋㅋㅋ,6
4770133,와 소리,1
4771133,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0
4771533,온다,6
4772133,변기에 티슈 작작 넣어라,6
4773933,어어 온다 소리 개빡이다 첨범첨범 ㄷㄷ,6
