time_ms,chat_message,label
1781234283771,나이스,0
1781234283806,개븅신들,2
1781234283820,이럴줄 알았다,6
1781234283821,손흥민 빼라,4
1781234283827,/고화질모드,6
1781234283852,묭규화면 보여주자마자 실점이네,6
1781234283852,뭐하노,6
1781234283858,왜 정몽규 화면에 잡아서 저런거여,6
1781234283868,월드컵 ———완—————,6
1781234283874,ㅈㅈ,6
1781234283884,짐싸서 온나,6
1781234283891,ㅈ됐네,3
1781234283897,/채팅제거,6
1781234283939,오키오키 박수를,6
1781234283943,이걸 쳐 지냐 진짜,2
1781234283946,ㅅㅅㅅㅅㅅㅅ,0
1781234283951,아니 기회가 얼마나 많았는데 {:d_58:}{:d_58:}{:d_58:}{:d_58:}{:d_58:}{:d_58:},2
1781234283951,에라이!!!!!,2
1781234283952,나가라 정몽규 홍명보,2
1781234284710,홍명보 제거,2
1781234284726,조별예선 탈락각 떳냐,6
1781234284747,/ 채팅 제거,6
1781234284749,ㅋㅋㅋ,6
1781234284802,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,6
1781234284816,/채팅제거,6
1781234284820,짐싸라,6
1781234284826,그래 5골먹어라 차라리 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,2
1781234284837,황지고등학교 2학년 5반 김재한 조용히 해라황지고등학교 2학년 5반 김재한 조용히 해라황지고등학교 2학년 5반 김재한 조용히 해라황지고등학교 2학년 5반 김재한,6
1781234284843,에바임,6
1781234284857,ㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅ,0
1781234284858,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ진자 개크렉이다 ㄹㅇ,6
1781234284871,백승호 빼라 병신,4
1781234284880,3패 3패,6
1781234284893,장난하냐,2
1781234284913,?,6
1781234284918,/채팅제거,6
1781234284926,ㅋㅋ접어라 그냥,2
1781234285763,정몽규 하...,2
1781234285776,ㅗㅗㅗ,2
1781234285802,ㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅ,0
1781234285805,볼 점유율 높으면 머하냐,2
1781234285811,ㅠㅠ,3
1781234285823,{:lck_16:}{:lck_15:}{:lck_16:}{:lck_15:}{:lck_16:}{:lck_15:}{:lck_16:}{:lck_15:}{:lck_16:}{:lck_15:},6
1781234285831,/채팅제거,6
1781234285831,안돼,3
1781234285835,이한범 안뛸꺼면 왜나왔냐,6
1781234285838,허무하네 ㅋㅋㅋㅋㅋㅋ,3
1781234285850,알고도먹히는 ㅋㅋ 다들 먹힐거알았자나 ㅋㅋ,6
1781234285855,조별광탌ㅅㅅㅅ,3
1781234285873,뭐야 뭐야,6
1781234285897,ㅜㅜㅜㅜ,3
1781234285906,양쪽 칠번 차이 오지노 ㄷㄷ,1
1781234285910,오예,0
1781234285911,3:0 가즈아,6
1781234285914,ㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅ,6
