timestamp,frame,chat_text
0.0,0,ㅋ크크크크크크크 히는 절치부심 명훈이가 너뤄음풍 류료 이건
1.0,30,ㅋ크크크크크크크 히는 절치부심 명훈이가 류료 Zo
2.0,60,ㅋ크크크크크크크 히는 절치부심 명훈이가 앞무빙한게 류료 이건
3.0,90,크크크크크크크크 히는 절치부심 명훈이가 녀루용금풍 구료 2o
4.0,120,크크크크크크 헤는 절치부심 명훈이가 너루용금풍 잘한 이건
5.0,150,크크크크크크 히는 절치부심 명훈이가 녀루음금풍 잘한 Zo
6.0,180,크크크크크크크 H 턱신의 절치부심 명훈이가 구료 이건
7.0,210,사야 6는 절치부심 명훈이가 잘한 21o
8.0,240,ㅋ크크크크크크 그는 절치부심 명훈이가 루음금풍 구료 2o
9.0,270,6는 절치부심 명훈이가 앞무빙한게 구료 21o 어우
10.0,300,명훈이가 잘한 임 Zo 어우 오 F이스~~~
11.0,330,Z이 어우 오 이스 아까비
12.0,360,오 롤o 맞았어 오 평타칠 로 했는데 였네 189
13.0,390,오 롤o 맞았어 오 잘 했는데 였네 속박
14.0,420,오 아 둘다 오 평타칠 로 했는데 였네
15.0,450,우 롤 맞았어 오 평타칠 로 했는데 낚 였네
16.0,480,커롤Ho 오 평타칠때잘했는데 였네 이
17.0,510,오 로 했는데 낚 였네 아 갱이 와버렸네
18.0,540,갱이 와버렸네 각 줬네 빠는거엿구나 [| TTir
19.0,570,갱이와버렸네 각 줬네 빠는거엿구나 T TTTUITTT TTt
20.0,600,빠는거엿구나 IT UTTTTTt Ttit 와 아
21.0,630,화하호
22.0,660,아 아 금음루 맞아야됐는데 9 빨앗네
23.0,690,아 의솔라리 비미 司음루 맞아야됐는데 빨앗네 다~ 2200 구 기 좋은적:
24.0,720,의솔라리 비레 자즈 바이를 까먹은 622 솔라리 22 6 물 200 야 30 이느르Y 30 가속호 10 신 90초 아군들에게 290~3601아군 신의 피해를 흡수하는 : 피해 흡수량은 25초에 걸쳐 점차 감소합니다 자세한 정보를 [Shift] 키를 고록 주세
25.0,750,의솔라리 빌미 우ol 바이를 까먹은 Jo군공 ㅋ 2200 기 좋은적:
26.0,780,바이를 까먹은 의솔라리 바 Jo원군공 ㅋ 아으 꼬브 2200 남피 2200
27.0,810,Jo교콩 의솔라리 ㅋ 900 아으끄브 1- 2200 250 요 속도 25 6음 아이오니아 장화 9 900 스길가속810 이동속도 345
28.0,840,의솔라리 비미 아으 Hl 600 1세트생각이 나네 2200 25 남피 B어o 기 좋은적: 아이오니아 장화 3 900 스킬가속8 10 이동 속도 345
29.0,870,1세트 Ioz 나네 게임이터졌을지도 꼬브끼브
30.0,900,Lo뭉Ik 터졌을지도 꼬브 꼬브 빤거엿어 명훈이가
31.0,930,IoBIZ 터졌을지도 All hll 빤거엿어 명훈이가 TT
32.0,960,IoRIz 터졌을지도 트HlEfl 명훈이가
33.0,990,IoIZ 터졌을지도 All hll 30 0 빤거엿어 명훈이가 Tit
34.0,1020,세주아니 빤거엿어 명훈이가 교교 줘줘이야
35.0,1050,꼬브꼬브 빤거엿어 명훈이가 교교 Y 줘줘이야
36.0,1080,꼬브꼬ㅂ 빤거엿어 명훈이가 교교 줘줘이야
37.0,1110,빤거엿어 명훈이가 줘줘이야 몸丘
38.0,1140,빤거엿어 명훈이가 Tr 줘줘이야 셈붐 세주아니
39.0,1170,줘줘이야 몸足 ㅋ크크ㅋ ㅋ크크티크크크
40.0,1200,느느一ㄴ 크크크크크크크 크크크크크크크ㅋ
41.0,1230,ㅋ크크크 ㅋ크크크크크크크 크크크 알크크크크크
42.0,1260,우거 ㅋ크 알ㅋ크크크ㅋ ㅋ크크크크크ㅋ
43.0,1290,크크크크크크크크 크크크 크크크크크
44.0,1320,크크크크크크크 ㅋㅋ크 알크크크크 ㅋ크크크크크크
45.0,1350,크크크크크 크크크 알크크크크크 자야: 크크크크크크크크
46.0,1380,크크크 알크크크ㅋ 一三三三三三三三
47.0,1410,크크크크크크크크 크크크 60 0 알크크크크크 크크크크크크크
48.0,1440,ㅋ크크크크크크크 크크크 알크크크크크 크크크크크크크
49.0,1470,크크크 1:대 알크크크크크 ㅋ크크크크크크ㅋ 바이g맞기전에 플쓰면 삼
50.0,1500,ㅋ크ㅋ 알크크크ㅋ ㅋ크크크크크크ㅋ 바이g맞기전에 플쓰면 삼
51.0,1530,크크ㅋ 알크크크ㅋ ㅋ크크크크크크ㅋ 바이g맞기전에 플쓰면 삼
52.0,1560,ㅋ크크 알크크크 리간 ㅋ크크크 바이g맞기전에 플쓰면 삼
53.0,1590,크크크 라칸 알크크크크크 ㅋ크크크크크크 바이g맞기전에 플쓰면 묘
54.0,1620,ㅋ크ㅋ 알크크크크ㅋ ㅋ크크크크크 바이g맞기전에 플쓰면 삼 자야
55.0,1650,알크크크ㅋ 크크크크크크 바이g맞기전에 플쓰면삼 각보이면 못참긴해 |ㅋㅋ
56.0,1680,"바이g맞기전에 플쓰면 삼 각보이면 못참긴해 |크크 라칸 ""나 탈주할까?"""
57.0,1710,"|뇨릉 게 탈주할까?"" 르 크크크키크크크ㅋ"
58.0,1740,사야 라간 느一一一一一一一는 골러고음 크ㅋ
59.0,1770,ㅋ크크크크크크크크 크크주으 명훈사랑단
60.0,1800,크크크크크 바이가 바텀만 살긴 하는가 골 H워애워z요 ㅋㅋ
61.0,1830,크크크크크크크크크 바이가 바텀만 교류 하는가 라안 H워애워z요 ㅋㅋ
62.0,1860,바이가 바텀만 Z류 하는가 H여애우z요 크ㅋ 명 ~~~~지 라칸 명사단크ㅋ
63.0,1890,~~~~찌 명사단크ㅋ 그런거였군 ㅋ크크크크크
64.0,1920,명사단크ㅋ 그런거였군 ㅋ크크크크ㅋ 저기 또 바텀만 샤海
65.0,1950,그런거였군 크크크크크크 저기 또 러움
