timestamp,chat_text,top_emotion,joy_pct,embarrass_pct,anger_pct,anxiety_pct,hurt_pct,sadness_pct,neutral_pct
0.0,234 6/8/9 양까라호연 200 174/12 8150곧드 20 5/3/21,중립,2.19,2.82,6.55,2.49,4.08,3.64,78.23
1.0,tttfl! [|,중립,5.12,4.87,5.14,4.15,2.47,5.7,72.55
10.0,234 6/8/9 150골드 8 212 17[4/13 고라니 8200곧드 사냥꾼3 5/522 [[!],중립,2.09,4.47,9.58,2.2,5.93,3.35,72.37
21.0,-,중립,4.23,20.56,5.18,13.77,3.88,18.46,33.93
25.0,Ei,중립,3.32,4.45,4.86,4.57,2.68,5.64,74.49
28.0,"가보!""",중립,9.89,9.92,12.6,5.6,10.5,6.6,44.9
41.0,"-- Ett----- ""_+- :+I;--",중립,3.23,3.89,4.98,3.92,2.68,5.21,76.08
42.0,'-+:,중립,3.92,5.0,4.87,4.59,2.48,5.82,73.32
46.0,++++++ ++++!,중립,2.38,5.59,7.4,2.82,3.49,4.12,74.2
51.0,S+ay-+++ +++ +- --+-,중립,3.49,3.35,5.72,2.74,2.97,4.09,77.63
52.0,++,중립,4.0,4.83,4.83,4.88,2.58,5.76,73.11
54.0,:+++,중립,3.37,3.76,5.16,3.29,2.73,4.59,77.11
57.0,+++++++y wuais,중립,3.31,3.55,5.17,3.26,2.73,4.6,77.37
59.0,편고,중립,1.31,4.16,6.6,6.01,6.03,6.0,69.89
62.0,Tuf P니 R-iw !-,중립,3.14,6.34,9.38,2.82,4.53,5.01,68.79
66.0,것랐다,중립,2.64,4.8,4.94,5.82,3.21,5.97,72.62
67.0,크 하실 때 진짜,중립,1.39,4.19,13.26,6.78,24.65,6.01,43.72
68.0,하실 때 진짜 -,중립,1.13,5.42,10.94,11.73,17.17,9.47,44.15
69.0,실때 진짜,중립,1.14,5.55,10.97,12.0,17.72,9.6,43.02
