timestamp,chat_text,top_emotion,joy_pct,embarrass_pct,anger_pct,anxiety_pct,hurt_pct,sadness_pct,neutral_pct
0.0,오늘의 경험 굴히틀른 해우르 정보태그 붙이고 Npay포인트 :적립 화제의 인벤타리오 문구 소토어 랭킹 공개 전부 H7 취향 60욱 썸머 블프 최대 80% 궁루: 맛도리용 즈ㅂ말왕 88id오라면 나나용률 북중미 월드립은 2026 FIFA 하o 함께하세요 S3kdis-q7s 리어비웅름 사과도둑-n2w 天즈브즈브줬비즈ㅂ kimj- n 핑핑 Beginner0s0y 김미선-39 흘리몰리,당황,1.38,42.76,8.73,2.93,7.98,3.92,32.3
1.0,오늘의 경험 굴히틀른 해우르 정보태그 붙이고 Npay포인트 적립 화제의 인벤타리오 문구 소토어 랭킹 공개 전부 H7 취향 60욱 썸머 블프 최대 80% 궁루 Szb-sippss 사과도둑n2w 2026 FIFA 북중미 하o 함께하세요 kimj-in 핑핑 Beginner_[ 030y 8용d 김미선-x3q 흘리몰리 YB-2000 말귄걸려라 hahahohojjang 제발!!!,당황,1.35,42.79,9.27,3.01,9.11,3.91,30.55
2.0,오늘의 경험 굴히틀른 해우르 정보태그 붙이고 Npay포인트 적립 화제의 인벤타리오 문구 소토어 랭킹 공개 전부 Hi 취향 60욱 썸머 블프 최대 80% 궁루 kimj- n 핑핑 Beginner_o30y 말왕3트 2026 FIFA 북중미 하o 함께하세요 김미선-x3q 흘리몰리 S YTB-2000 hahahohojijang 제발!!! : 모 캔치elx 에겐왕 ?-+++++,당황,1.35,42.79,9.27,3.01,9.11,3.91,30.55
3.0,오늘의 경험 굴하틀른 해우르 정보태그 붙이고 Npay포인트 적립 화제의 인벤타리오 문구 소토어 랭킹 공개 전부 Hi 취향 60욱 블프 최대 80% 궁루 김미선x3q 흘리몰리 말린걸려라 000z-aLxo피를 2026 FIFA 북중미 하o 함께하세요 _ Hahahohojang 제발!!! *9번곡문 밥부터먹자 킨치eix 에겐왕 hahahohojjang 말왕,당황,1.15,43.14,9.61,4.17,10.65,4.73,26.55
4.0,오늘의 경험 굴하틀른 해우르 정보태그 붙이고 Npay포인트 적립 화제의 인벤타리오 문구 소토어 랭킹 공개 전부 Hi :취향 60욱 썸머 블프 최대 80% 궁루 YB-2000 월드입 'ahahohojang 제발!!! 2026 FIFA 북중미 하o이 함께하세요 킨치elx 에겐왕 k hahahohojjang 용림 ZZ0yUL 웃참맨!! YTB-2000 제발말권,당황,1.15,43.14,9.61,4.17,10.65,4.73,26.55
5.0,|륵어 경험 '걸이물른 연결해요 정보태그 붙이고 Npay포인트 |히모후 인벤타리오 문구 스토어 랭킹 공개 천부 내 취향 65욱 블프 도 80% 루 hahahohojang 제발!! &9건곤문 2026 FIFA 북중미 이F! 8y위니루 칸치-elx 에겐왕 Guellououeyeu a 용름 - ZZoYuL- 훗참맨!! YTB-2000 제발말귄 라면주먹 mom용림,당황,1.46,42.75,8.06,2.83,6.68,3.92,34.3
8.0,{,중립,5.76,8.07,4.87,7.63,2.45,8.11,63.11
9.0,11,중립,3.8,12.99,5.12,13.33,3.07,13.25,48.45
10.0,'+u-++ic- _____ 킨치elx 4핑핑크크 해울의 의유화f4p 1슬kUmj- In 이정토면하라는신희계시다그냥 크크크 스티말쁜새 4연핑도운명이지이건 -se9si 움,기쁨,51.85,2.77,6.9,2.62,4.67,3.87,27.31
11.0,Op: 킨치elx 4핑핑크크 해울의 핑핑핑핑핑핑 [_유화+f4p n트km] 이정도면하라는신희계시다그냥 ㅋ크크 三티말쁜새 4연핑도운명이지이건 -se9si 움 H서,기쁨,51.46,2.83,7.97,2.98,6.37,4.11,24.29
12.0,___ _제성유화4p R르kImj--In 이정도면하라는신의계시다그냥 티ㅋ 프니말쁜새 4연핑도운명이지이건 H -se9si 옷 user-gq8ih6kf5g 운명 유주,중립,1.73,2.83,7.12,2.81,4.96,4.11,76.45
13.0,Too- - 피트kImj n 이정도면하라는신의계시다그냥 티코 4연핑토운명이지이건 ---se9si R- juser-gq8il6kf5g 운명 잉어허비무유료믹요 그 성현등h6z 4핑핑은그냥하라는거네크크터,중립,31.77,2.93,6.64,2.94,4.44,4.26,47.02
14.0,一化말쁜새 4연핑도운명이지이건 [] --sse9si 호user-gq8ih6ki5g 운명 의질 그 언롬 성현동h62 4핑핑은그냥하라는커네크크크 S9n러위커우에고 _티밥촘먹자:,기쁨,46.6,2.74,7.51,2.73,5.72,3.86,30.85
15.0,---se9si [e user-gq8ih6kf5g 운명 KR 핑님잘생겼습니다화이팅 언당 성현통기6z 4핑핑은그냥하라는거네크크 S9n거위거위하고 의미밥촘먹자 Olharrykimzzz3 4진핑티크크크크,기쁨,51.6,2.77,7.53,2.81,5.59,3.97,25.73
16.0,[ire user-gq8ih6kf5g 운명 [[인돈 성현동h62 [바리러우우트긍잎요] |티크 용하니하니u6s 떠워 스化밥좀먹자: ROharrykimzuz3 4진핑 TOnamuo897 벙벙맨이노,중립,1.88,2.85,6.93,2.69,4.6,4.0,77.04
17.0,성현통16z 4핑핑은그냥하라는커네크크터 Sgn거위거우에t기 스仙밥촘먹자 핑핑맨은빨리하시죠 oharrykim77z3 4진핑 」」티크크크 Ro namuo897 뻥벙맨이노 0 Erse9si 웃참 eeeeeeeeeis 에반데,기쁨,51.43,2.8,8.21,2.95,6.81,4.01,23.79
18.0,성현동16z 4핑핑은그냥하라는거네되크터 S9n거위거우에의 스化밥좀먹자 oharrykimzz3 4진핑 Conamuo897 벙뱅맨이노 Erse9si 웃참 에반데 eeeeeeeeeis,중립,1.54,2.75,7.17,2.87,5.39,3.83,76.45
19.0,Sgn거위러우s 하프 스化밥촘먹자 Roharrykim77z3 4진핑크티크크크터 _rsnamuo897 레요 ---se9si 움참 eeeeeeeeei-s 에반데 Se9si 아,기쁨,51.69,2.71,6.96,2.61,4.88,3.71,27.44
20.0,"Doharrykimzz3 4진핑크크크크크 2680nueus t! 훗참 -se9si _ 에반데 eeeeeeeeeis [0]0 ""o Is6as--",기쁨,51.7,2.78,6.33,2.78,4.08,3.72,28.61
21.0,퓨피밥촘먹자 핑핑맨은빨리하시죠 _o harrykimzzz3 4진핑 一크크 _ionamup897 벙뱅맨이노 [ mrse9si 훗참 eeeeeeeeei-s 에반데 IdI am isegsi아 스化쌉따라ick,중립,31.36,2.91,7.82,3.42,6.53,4.4,43.57
22.0,Ro harrykimzzz3 4진핑티크크크티크 Ng namuo897 뻥맨이노 -segdi옷참 eeeeeeeeeis 에반데 [S6as-- witn! 아 프티쌉싸라하쓰 야닻팡니 이번꺼무서움 C,기쁨,51.51,2.74,6.8,2.77,4.81,3.81,27.57
23.0,[gnamuo897 ---se9si 웃참 에반데 eeeeeeeeeis [맥[] -se9si 아 이번꺼무서움 R요Rock-_tripe 핑핑이가자,중립,1.99,2.81,6.31,2.66,3.93,3.91,78.39
24.0,Rrg namuo89z 웃참 ---se9si 에반데 eeeeeeeeeis --se9si 아 스티쌉싸라dick쓰 르공레n D야닻팡니 이번꺼무서움 _oRock_tripe 핑핑이가자,중립,1.64,2.77,7.25,2.75,5.22,3.91,76.46
25.0,스0쌈싸라dick쓰 HRo하! 이번꺼무서움 [Ur Rock_tripe 핑핑이가자 09N4공공e 웅림페야정극풍 dsi2205447 3 그 8 킨치elx 아이게더무서운데,중립,1.57,3.28,6.22,4.31,4.5,4.9,75.22
26.0,一化쌉싸라dick쓰 프르레o레o H요o의 이번꺼무서움 D요 Rocktripe 09N1공Ber 웅림야공극풍 O dsa2205447 3 킨치e 아이게더무서운데 맛이 [SD-!!!!!!!!!! +,당황,1.74,42.7,7.04,2.68,4.9,3.78,37.17
27.0,Li Rock tripe 핑핑이가자 옆에는앉아줘말왕 Cdsd220544게 3 공음니코 iililininili-psr _ aahahohofiang 공래야르원팀 一源말엄마,중립,1.82,2.66,6.95,2.52,4.76,3.66,77.63
28.0,09N어-Ber 웅림력야공극풍 dsd22054471 ? 8 킨치e1 아이게더무서운데 Roulliliiniili-psr 퍼刊이Jo앞요 _ hahalohojjang 말왕걸려야제대로인데 요ds22054기,중립,1.96,2.82,6.83,2.64,4.5,3.89,77.36
29.0,09N어공er 웅림터야성극o풍 0dsd22054471 o킨치elx Ij공남레니어 DOflililiililili-p3r [_ Wa hahahohojjang 비공개비야르웅림 스니말엄마 C0dsd22054471,중립,1.87,2.77,6.77,2.61,4.46,3.8,77.72
38.0,So__t -- --_- 그 En younsungoo0 리{ +}[ I 1 1 11 I I _oHereUselessHuman 큰 스커터7 '놀라라 으감나니 놀래라: 00nleejis8266 크크크크크크크크크덩크 Poe hahahohoijang 와시브놀래라,기쁨,51.86,2.78,5.98,2.69,3.68,3.76,29.25
39.0,_ 으감나니 래룩 0E nleejis8266 :타테크크크크크크크크팁터 L  hahahohojjang 와시브놀래라 [四화동동에 크크크크크크크크카 DIes Magigi-y5m 오우 COPPPpppPpdd 티一크크크크크크크트,기쁨,51.34,3.01,6.85,3.49,5.29,4.46,25.57
40.0,R_Magigiky5m 오우 OPPPrppPpdd 킹크크크크크크크크킹탑크 프커터기와 I user-fj6fn와즈는 티크티터 버느F허머휘머휘위뵈,기쁨,52.47,2.76,6.51,2.23,3.85,3.4,28.79
44.0,웅론용이 이건르놀랜넥크티크터 LLO YUB-2000 0트래곤라자1998 미친놈들아 高라면주먹 어우크크크크터 아티이상호날두33 다시를렛돌려 y user-Ig3tizif2t 옆에는앉아있자 _ s DdungddI-ik9;],기쁨,52.17,2.76,7.1,2.3,4.56,3.53,27.58
45.0,변_- i- Dc_s__ 드_ *guserulgsti기f2t 어이공극o풍 KA DDUNGDDI-IkOC] 눔 eeeeeeeeeis 우 OIEjamidhdh 보리뤄하려크니o Mu 김수지w기 크타크카크크크크크크크 -,기쁨,51.49,3.07,6.24,3.47,4.18,4.47,27.08
46.0,___d__o bosi_ 이 _ eeeeeeeeei-s OEijamjdhdh 보러아려라니o 크크크크크크크터트 김수자w기 크크크크크크크크트 오커터7 등,기쁨,52.15,2.79,6.16,2.53,3.64,3.68,29.05
47.0,3ejamjdhdh 김의영y 비김수지w기i 요커터7 와 _Oa hahalohgjfang 개깜짝놀랐데 르 DDUNGDDiFIk9c] {등 hahohahai23,중립,16.56,2.77,7.02,2.89,5.08,3.89,61.8
48.0,스커터7 와 x hahahohojjang 개깜짝놀랐네르이 意 DDUNGDDI-Ik9C] 와 hahohaha123 [>radraindeer9n44! 아시비 _티맛도리용 무니데스니 포화속으로 Hanserif307,중립,17.46,3.57,9.86,1.85,6.24,2.97,58.05
49.0,unguirsE] Orrx hahohahai23 3층남아있었네크크크터 e radraindeergi44 스미맛도리용 무너데시브 hanserifs07 포화속으로 42bwawa12 크크크크크크크크크크크크터,기쁨,51.43,2.78,7.31,3.04,5.69,4.04,25.71
50.0,I tsncraamrunpne 맛도리용 무주느데 ]스ㅂ hanserif30z 포화속으로 426wawa12 크크크크크크크크카드 으미금붕에 다리도뿌러지네 Yihan-dsg 페커아공크림피이렁 ?,기쁨,51.74,3.16,6.75,3.05,4.52,3.92,26.86
51.0,ThanisEls uz? 426wawa12 티크크크크크크터 크크크는 크크크티티티크크크크크크크크크크터드 크드 三一三三三三三三三一三三一三三 으금붕에 다리도뿌러지네 Yihan-d3g 페커아공크프림니이커0 앗뜨거26 크크크크크크크 _김현정4j83 어디간거야크크,기쁨,53.81,3.69,8.06,2.07,4.59,3.5,24.29
52.0,크크크티크크크크크크크크크크크크 드리크는 크니크크크 다리도뿌러치네 Dy Yihan-d3g 페커아공피림바이커 앗뜨거26 터크크크크크티크크 一김현정p4j8e 어디간거야크ㅋ 이제것김준규6x +{,기쁨,52.84,3.88,8.62,2.38,5.91,3.72,22.65
53.0,|룩2피中 CT 0allen22 총알이네 의작 다들날라가심 김준규i6 Hahohaha123 김의영-y 핑니튀네 - 프티맛도리용 {등,중립,2.37,9.06,5.56,24.67,6.19,15.56,36.59
54.0,김준규6X Hahohaha123 Ion움s 핑즈너튀네 개놀랐네 Orjamjdhdh 이건한거네를렛크크크크크,기쁨,51.72,2.74,9.21,2.41,7.99,3.34,22.59
55.0,크크크크크크크크크크크 hahohaha123 Iopon움s 명영김의영Hy DSM2y지 개놀랐데 ODjamjdhdh 이건한거네룰렛 의 FRz280synss,기쁨,52.26,2.78,7.84,2.09,5.34,3.18,26.52
56.0,김의영Hly 프化맛도리용 와 eSM-a2yq 개놀랐네 오Ejamidhdh 이건한거네룰렛 80sxnes 다리까지뿔러먹노 _니동n2 M플룩리를,중립,16.38,2.78,7.77,3.05,6.33,4.1,59.58
57.0,핑느튀네 [_ SMqzy> 개놀랐네 으Fjamidhdh 이건한거네룰렛 Oscuks08 0웰엠씨 다리까지뿔러먹노 메0니동n2h 쥘라놀랐네,중립,1.45,2.83,7.66,3.13,6.11,4.24,74.58
58.0,핑一튀네 [_  SMqlzy> 개놀랐네 으rjamjdhdh 이건한거네룰렛 느느 크크크 O scuks08 다리까지뿔러먹노 _니동n2 쥘라놀랐네 시케,기쁨,46.1,3.64,8.81,5.86,9.65,5.8,20.15
59.0,와 __ SMrizyg 개놀랐네 OEjamjdhdh 이건한거네룰렛니게 크크크크 80synas0 다리까지뿔러먹노 _어니동n2h 쥘라놀랐네,기쁨,51.54,2.66,7.46,2.68,5.71,3.73,26.22
60.0,허 [_eESMgl2yq 개놀랐데 Upupuelee 이건한거네를렛라기 테코크터 무 80synos0 아웰엠씨다리까지뿔러먹노 비동기래 쥘라놀랐데는 COdsa2205447 와가정집이네크크,기쁨,46.47,2.73,7.58,2.9,6.02,3.92,30.39
61.0,눈++ +++x ito 으rjamjdhdh 이건한커네룰렛구크크크크크 Oscuks08 공어 다리까지뿔러먹노 니동n2h 쥘라놀랐네 Cdsa22054471 와가정집의네티터 42bwawa12 다큰성인남성들이이러는케 너무웃김,기쁨,51.52,2.68,7.6,2.69,5.95,3.72,25.84
62.0,Crntx - Orjamjdhdh 이건한거네룰렛기크크크크 Oscuks08 다리까지뿔러먹노 니동n2h 쥘라놀랐네 C0dsd220544771 와가정집이네티크 42bwawa12 다큰성인남성들이이러는게 너무움김,기쁨,51.56,2.77,7.34,2.77,5.46,3.84,26.26
63.0,Me  eIp Jamjah이컨한거네물렛리기크」크크 Oiscuks08 귀엽냐 프웰엠씨 다리까지뿔러먹노 모어니동n래 쥘라놀랐네 Odsd22054기 O42bwawa12 다큰성힌남성들이이러는게 너무김,기쁨,46.5,2.71,8.04,2.73,6.5,3.77,29.74
64.0,Flt 80sinbsi- 다리까지뿔러먹노 쥘라놀랐네 dsd2205447저 크크 142bwawa12 다큰성인남성들이이러는게 너무웃김 커터7용감하데,중립,31.57,2.81,7.22,2.97,5.36,4.08,46.0
65.0,- __ Coscuks08 귀엽냐 다리까지뿔러먹노 니동n2h 쉴라놀랐네 Ods122054471 e42bwawatl2 리이를링뮤럽 너무웃김 그커터7 용감하데,중립,1.5,2.86,7.07,3.06,5.2,4.21,76.1
66.0,-_+++* 그 구 니등n2h 쥘라놀랐네 20ds122054471 5 42bwawail2 다큰성인남성들이이러는게 너무웃김 4Bc 용감하네 eeeeeeeeeis 휘문해리이요요 Oaxxaxxaa 여기 줍니무서움타크크크,기쁨,46.79,2.73,6.99,2.61,4.81,3.74,32.34
67.0,_- +_ D__F-ff 42bwawa12 다큰성인남성들이이러는게 너무웃김 커터7 용감하네 eeeeeeeeei-s I의어휘문해이읊요 Co axxaxxaa 여기져니무서움타크카터 X_3ee 오우 <' _bpzc M퍼이왼ozl링,중립,1.4,2.88,7.04,3.27,5.37,4.23,75.82
68.0,++sc+ o- __ 너무웃김 커터7 용감하네 [ks eeeeeeeeei-s 어휘링묻해비이움윤 COlaxxaxxaa 여기지니무서움크크크크 X-3ee 오우 -] OzEd-ge 웅레노굴바 크크카크크크크크크크크,기쁨,51.68,2.76,7.04,2.76,4.98,3.96,26.82
69.0,"_____""다 __므t 너무웃김 커터 용감하네 S-iaaasaaaaa te COlaxxaxxaa 여기지니무서움크크커 XSee 오우 R_bpjzc Eec 여론조작말왕",중립,31.58,2.71,7.76,2.65,5.93,3.73,45.65
70.0,퓨커터 용감하네 eeeeeeeeei-s COaxxaxxaa 여기즈니무서움타크크터 오우 < X-3ee EzEd-geo 바惠퍼이M레링 白여론조작말왕 맛도리용 저느무섭겠는데,중립,31.84,2.65,7.12,2.4,4.91,3.49,47.61
71.0,L buo-b6zeArer 9eejh2542 크크크크크크크스 말왕남편 에이스르드 ++++i Hahohaha123야 0  hahohaha123증다 0dsa22054471 |,기쁨,52.24,2.82,5.85,2.54,3.5,3.66,29.39
72.0,2leejh2542 크크크크크크크크크크크 1 +++' 의말왕남편 에이스니 Hahohaha123야 +++t Hahohaha123 좋다 _k으또안열리네 O dsa220541,기쁨,52.65,2.86,6.84,2.13,4.11,3.34,28.06
73.0,5sleejh2542 크코크크크터코크티크크크크트 의말왕남편 에이스니트 Hahohahai23 Thahohaha123증다 또안열리네 COds62205447 ~레터리문陽애 타카크크크크크크크,기쁨,49.75,9.84,4.7,18.8,3.89,12.11,0.91
74.0,말왕남편 에이스드 _x hahohahal23 야 Hahghahaj23 좋다 OK 또안열리네 C0dsd2205447 커크크크크크크크크트 커터7,기쁨,51.99,2.67,6.61,2.34,4.25,3.48,28.67
75.0,C0dsd2205441 유태양님과는다르네요~ C커터7 Ougxn11111 {등 0앗뜨커c2b 파플回리니o YTIB-2O00 이게남자지 Douser-gg8ih6kf5g 딸칵,중립,2.06,2.83,6.7,2.56,4.28,3.82,77.74
76.0,커터7 Gougxni1111 앗뜨거c2b 이게게임유튜버지 YB-2000 이게남자지 [Do user-gq8ih6kf5g 딸칵 F |옴는 우커터7 ?????????,당황,2.27,42.85,6.65,2.43,4.12,3.69,37.98
77.0,커터7 Cougxni111! 와 앗뜨거c2b 이게게임유튜버지 바를 YB-2000 이게남자지 D e user-gg8ih6kf5g 딸칵 |옴든D 우커터7 ?????????,당황,17.03,42.75,6.74,2.5,4.35,3.7,22.92
78.0,++++-+ -' -- -4,중립,3.12,12.53,5.19,18.26,3.81,16.54,40.55
79.0,"]tftt] +11 [1] ""---- i+4 L I-  :",중립,4.34,4.32,5.06,4.17,2.52,5.43,74.16
80.0,++ -: '+--+ - -,중립,3.85,18.3,5.13,15.88,3.83,18.65,34.36
81.0,_u - eeeeeeeeei=s 아요 이티발목분쇄골절 이시우5v 99강화비둘기 왜자꾸스텝을 00킨치elx 이게쌍남자지 _o칸치elx,중립,1.74,2.85,7.25,2.78,5.06,4.03,76.28
82.0,__o_t- [_sxeeeeeeeeei-s 深옴글커M뉴 아요 ++ e 스티발목분쇄골절 공Moo 99강화비둘기 왜자꾸스텝을 0o킨치elx 이게쌍남자지 _o킨치elx 말왕여기까지30분걸림,중립,1.34,2.76,8.51,3.02,7.56,3.96,72.85
83.0,______ - -It_Out 아요 C피 발목분쇄골절 cmo 199강화비둘기 왜자꾸스텝을 Oo킨치elx 이게쌍남자지 Ro킨치ex 말왕여기까지30분걸림 o usergq8ih6kf5g 깡!,중립,1.83,2.8,7.15,2.65,4.85,3.86,76.85
84.0,多化발목분쇄골절 이시우15 大99강화비둘기 왜자꾸스텝을 _킨치el 이게쌍남자지 _o킨치eix 물르곱0피나웅름 Do user-gq8in6kf5g 깡! C티맛도리용 온다,중립,1.67,2.78,7.54,2.75,5.54,3.95,75.78
85.0,왜자꾸스템을 [z톨머휘266C0_! [이킨차elx 이게쌍남자지 一킨치elx 말왕여기까지30분걸림 0 user-gq8ih6kf5g 깡! 프미맛도리용 온다 으커터 발소리,중립,1.97,32.8,7.0,2.54,4.61,3.8,47.29
86.0,199강화비둘기 왜자꾸스텝을 9킨치ex 이게쌍남자지 _킨치ex [[ user-gq8ih6kf5g 깡! C化맛도리용온다 터 발소리 ns Magigi-y5m 코크크크코,기쁨,46.85,2.83,6.91,2.65,4.56,3.96,32.24
87.0,原용킨치elx 말왕여기까지30분걸림 [0 user-gq8ih6kf5g 源맛도리용 온다 C커터7 발소리 LMagigiv5m 크크크크크 COErileejis8266 loo러크공Y C커터기 발소리,기쁨,51.84,2.83,7.04,2.68,4.77,3.94,26.9
88.0,Lies user-gq8ih6kf5g 깡! 아티맛도리용 {궁 요커터7 발소리 Magigi-v5m COIEnleejis8266 Filoo러트공Y 오커터 발소리 K 또소리로겁주네,중립,1.88,32.7,6.63,2.53,4.34,3.72,48.2
89.0,[0 user-gq8ih6kf5g 깡! 오티맛도리용 온다 우커터7 발소리 a Magigiv5m 크크크크터 0nleejis8266 사운드가르이네 커터7 발소리 또소리로겁주네,기쁨,50.63,31.86,6.57,2.3,4.28,3.37,0.98
90.0,스化맛도리용 온다 커터 발소리 [_ Magigi-v5m 터크크터터 0 F nleejis8266 iloo래트공Y 커터 발소리 또소리로겁주네,중립,31.4,2.75,8.34,2.85,7.22,3.75,43.69
91.0,이맛도리용 온다 오커터7 발소리 LsMagigiFv5m 0nleejis8266 사운드가르0이네 커터7 발소리 주 또소리로겁주네,중립,1.58,2.78,7.65,2.84,5.8,3.98,75.35
92.0,_長맛도리용 온다 커터 발소리 so Magigiv5m 코쿠크크터 SEnleejis8266 HiloozLzu공Y 커터7 발소리 또소리로겁주네 最고류 복압잡고,기쁨,33.83,7.35,5.43,10.49,3.24,8.97,30.7
93.0,스夏맛도리용 온다 C커터7 발소리 Magigi-v5m 티카크크터 3Fnleejis8266 사운드가르0이네 커터7 발소리 또소리로겁주네,중립,31.54,4.87,6.06,7.91,4.76,7.39,37.48
94.0,오쿄맛도리용 온다 우커터 발소리 To Magigi-y5m 커크크크터 OEnleejis8266 사운드가르0이네 룸4바2c0 또소리로겁주네 의빨간실 복압잡고,기쁨,46.42,3.44,6.26,4.27,4.59,4.9,30.11
95.0,1 -,중립,4.39,21.49,5.4,12.26,3.89,18.25,34.33
100.0,_ eeeeeeeeei-s iseungjae082 지지맨님자막에깜놀주 요 Tiin 앗뜨거c2b 흡티크크크 [_Gtapuppy-dogo611 진짜핑핑맨진행속도 _cex hahohahau23,기쁨,46.5,2.7,7.05,2.89,5.19,3.9,31.77
101.0,nseunrgjaeuo 11 Lurut? 앗뜨거c2b 흡티티터 Bspuppy- -dog0611 Hahohaha123 국어어 A hahohahai23 후후후후할수있다픽맨,중립,1.7,2.69,6.8,2.69,4.75,3.75,77.62
102.0,ISeugjaeuoz 시시킨럽사력에럼 Tuu 앗뜨거c26 흡티터 _Gtspuppy -dog0611 { Hahohahai23 와한번에 Hahohahal23 KL,중립,16.55,2.76,7.0,2.94,5.12,4.04,61.58
103.0,-u- 대용에 앗뜨커c26 흡티크크크크 _arepuppy dogo611 t hahohahail23 와한번에 hahohaha123 OK 미퓨미르우우우로 Cocsj02873 바이는,기쁨,51.59,2.7,7.58,2.49,5.87,3.39,26.39
