time_ms,chat_message
1780570547383,ㄹㅋ
1780570550684,{:d_59:}
1780570552917,룩하
1780570560085,ㄹㅋ
1780570566943,루카
1780570568530,루콰
1780570570197,와 진짜 리센트초대석이야 ? 대박
1780570570301,리센ㄴㄴㄴㄴㄴㄴㄴㄴㄴㄴㄴ나
1780570571794,룩삼 야호~
1780570572560,야호
1780570575809,루카
1780570577934,대박이다 진짜 초대석벌써 ㄷㄷ
1780570577988,룩삼 야호
1780570578181,초대석 예고?
1780570578625,루콰
1780570579483,룩하
1780570579701,야호~
1780570579722,룩 야호
1780570581524,루카
1780570581563,룩 야 호
1780570582192,룩삼 야호~~~~
1780570582438,룩삼 야호~
1780570582931,룩하
1780570583328,리센느초대석당장해야겟지
1780570584057,룩ㄱㄱㄱㄱ삼ㅁㅁㅁㅁ므
1780570584425,룩하
1780570584445,ㄹㅅ ㅇㅎ
1780570584633,룯하
1780570585009,초대석이라고?
1780570586195,루콰
1780570586265,룩삼 야호~
1780570586628,룩하~
1780570586644,룩삼! 야-호☆☆
1780570586715,엑스 러브임 다음?
1780570587082,룩삼 얏호
1780570587426,초대석 캐스팅됬데요
1780570588452,ㄷㄷ?
1780570589497,룩삼 야호
1780570590319,룩삼~ 야호
1780570590482,루카
1780570590512,루콰
1780570590520,루까
1780570591706,야호
1780570591730,룩삼 야호
1780570592867,룩삼느
1780570593733,다음 엑스 러브 맞죠?
1780570594215,루콰
1780570594658,유하호
1780570595114,루콰
1780570595454,김진효 야호ㅗㅗㅗㅗㅗㅗㅗㅗㅗㅗ~
1780570595684,룩사무 야호~
1780570596642,룩셈느
1780570597578,아 루콰
1780570597610,루카
1780570598477,룩야호〜〜〜〜
1780570598585,룩삼 야호 치트키 하나 쓰네ㅋㅋㅋㅋ
1780570598840,야 허 ~~~~~
1780570599332,황해보고 방종임?
1780570599493,룩삼 오이데~
1780570599686,초대석 인가요?
1780570600049,마떼루용~
1780570600143,초대석을  위한 빌드업인가ㄷㄷ
1780570600398,오이데 오이데
1780570601284,루크사무 야호~
1780570601641,아루카
1780570602334,진효 야호~~
