time_ms,chat_message
15578,쥐하
16434,G하
24232,생각보다 일찍왔구ㅡ나
26043,ㅎㅇ
29825,뭐야 겁나 일찍왔네
30971,왜캐일찍옴
31651,지옥 야다..
32491,쥐엔장
33731,물쥐야 빨리 유ㅏ라
34334,야다
34822,야호 티모원딜이당{:mlb_76:}{:mlb_76:}
35128,쥐하
37704,GD
37874,왔구나 이놈
38041,안녕하세요 티모원딜님
38914,쥐하
39959,ㅎㅇ
40022,티모원딜 렛츠고
41098,쥐하
41208,가보자
41788,협곡두걔쟤
42229,티모원딜 왜 빠진거임
42405,그래
42741,{:d_43:}{:d_43:}{:d_43:}
44843,쥐하
44949,음 그래그래 바로 봐주마 쥐-하
45219,쥐하
45479,티모원딜 그만해 ㅋㅋ
45915,티모원딜습박 ㅋㅋㅋㅋ
46350,티모원딜 뭐지요....
47986,방제
48290,{:d_131:}
48325,^모^
48432,오긴왔네
49028,bj티모원딜님
49194,{:sd_8:}
50113,{:d_44:}{:d_44:}{:d_44:}
51830,안녕하십니까 오랜만에 찾아왔습니다
51950,ㅋㅋㅋㅋㅋㅋㅋㅋ티모원딜 맛들렸네
52858,쥐하
53718,레쓰게릿~
55740,어제 그리 맛보더니 중독되어버렸구나...
56075,채팅 글씨체 바꼇네
57007,반갑다
57841,^모^
58443,{:d_46:}{:d_46:}{:d_46:}{:d_46:}
58864,쥐하ㅏ
59038,무첫다리 쥐모?
59210,빨리도 오는구나
59213,쥐하{:d_53:}
59831,결국 원챔충 가는구나....
59921,티모원딜만하자
60083,................
60541,ㅇ
61102,섹
61967,채팅 글씨체 우ㅡㅓㄴ래 저럼?
62294,쥐하
62360,티모가 유튭 잘나와 개카님이 그랬듯이 우리도 가자
62366,오늘 티모로 죽어보자 그냥
62881,쥐하
63072,ㅋㅋㅇㅋ
63904,모~ 어게인
64086,쥐하
66403,쥐하
68022,그래 반갑다
68760,그래그래 물쥐야 어서오너라
68859,쥐는 쥐하는게 맞아
69087,스
69923,쥐하
70001,티모 좋아요?
70796,티모원딜은 보는게 재밋긴하더라
72496,채팅창 글씨 뭐임 ?? ㅋㅋㅋㅋ
74196,스
75286,신스킨나왔어 물쥐님
75669,siuuuuu
76429,{:d_99:}{:d_99:}{:d_99:}{:d_99:}{:d_99:}{:d_99:}
77470,주하모
78503,글씨체 왜이럼
79621,즐똥하셨나요 물쥐님
79655,쥐하
80252,큐돌려 물쥐님
80315,스
80712,오늘 똥은 어땠어 물쥐님
82964,{:d_73:}{:d_73:}{:d_73:}{:d_73:}
83599,틀딱 폰트 뭐냐
84215,왜케 빨리 왔어?
85111,드디어 기어나온 괴물쥐!
85599,채팅창 폰트 머삼;
87864,글씨체 틀딱인데
88977,^모^
89039,물쥐님 채팅이 이상해
89788,개빨리오네
90219,쥐하
94749,롤이다 롤 ㅋㅋㅋㅋㅋㅋ
95555,고 ㅣ 티 물 모 쥐
96148,채팅창 뭐여
97205,채팅창 폰트 개 틀딱같은데
97815,게이
99451,채팅창 폰트 ai같네
101557,왤케 늦게 기어들어오ㅓ
101788,틀딱같네 폰트
102761,{:mlb_62:}
105825,저거 뭐임 틀글씨체
106557,굿모닝
106643,괴물쥐 하이라는뜻
106649,{:d_126:}
108215,누가 바꿧어 채팅창 언년이야
108810,틀딱폰트머임?
109934,채팅 롤백해라
110633,나눔고딕같네
111838,와 진짜 개틀딱 같긴하네
112200,여친이 글씨체 바꿔놨네
115953,{:monsMonsKiss:}
115961,물쥐야 하이 밥 먹었냐
116046,hi
119141,채팅 폰트 딱딱하네
121813,쥐하
122007,{:d_187:}
123340,{:d_59:}
124554,물쥐야 결혼 축하한다잉
125229,틀 ㄸ이 클린봇걸리네
125722,채팅창 뭐냐?
127136,껐다 켜보셈
128978,남친이설정해줬네;
129917,빨리 바꾸라고
132996,물쥐야 하이라고
133542,쥐하
134803,야이 방송을 켰는데 왜 카톡 안 하세요
134890,거슬려
136186,{:d_126:}
136766,걍 처 봐
137022,굄우징 {:d_51:}
137404,노란채널일때폰트같애
137512,있는데?
137526,지장있어
137646,폰트 습박 ㅋㅋ
138737,ㅈㄴ불편;;
138773,에바야
138911,티모 원딜 좋음?
139051,ㅋ
139118,ㄱ-
139492,{:d_245:}{:d_245:}{:d_245:}
141780,못갱긴 얼굴이나 띄워라
142221,폰트 왜이래 습빡
143711,게이임?
144287,불편해요
144473,노랑시티로돌아간거같아
147247,쥐환아. 채팅창. 틀딱같다.
147519,틀...
148868,쥐하
149056,할배폰트ㅋㅋ
150685,똥! ㅋㅋ
151355,{:d_57:}
151607,뭐냐 이 ㅈ같은 폰트는
154018,틀같네
154273,지장있어 미친련아
157132,물쥐님 얼굴없으면 지장잇어요
158909,캠이나 켜
161970,근데지금몇시냐 ????
164227,니 방송은 채팅이 절반이라고
164606,20년 전 폰트느낌나노
164837,{:monsLeft:}{:monsCface:}{:monsRight:}
165178,오빠 방송키면 연락해야지
165637,{:d_46:}{:d_46:}
168279,틀딱컨셉으로 가기로함?
170598,가나다라마바사아자차카타파하
171194,채팅폰트 ㅅㅂ ㅋㅋ
175180,지금 왔구나 물쥐야
176904,ㅋㅋ
177111,ㄴㄴ
179273,보이긴 잘 보이네
179465,음?
179706,?
180056,ㄴㄴ
180473,눈아픈디
180690,틀 ㅋㅋ
181938,잘보이면 밴당하기쉬운거ㅏ아님?
182197,?
183291,그래 앞으로 이렇게만 가보자꾸나
184291,고ㅣ물주ㅣ ㅂㅏ보
184669,전께 더 ㄱㅊ지안나
185433,틀이네
185667,더 좋아요
185706,물쥐야 방제 뭐냐 티모로 트롤하기로 한거임?
186138,이상해
186155,{:d_52:}
187335,아폰트 뭐야
187427,할배가 방송하는거같아요
189024,{:mlb_78:}
189241,식당에서 밥 먹는데 바닥에 누가 똥싸서 냄새나는데 그냥 먹으라고하네
189245,벤하려고 그런거구나
189590,글씨체.격식있어보여서.참좋네요
190404,전에꺼가 잘보여
191765,에바야
191783,얘는 호빠선수도 아니고 11시 출근이 말이 됨??
192619,잘보이긴 해용
193008,구려
193285,채팅 폰트 지건마렵네 지환아 요즘 안맞으니까 감 잃었냐
197167,물쥐야 5년째 유튭 구독중이야.. 당신 생방보려고 깔았다..🫶
199329,더 잘보이긴 함
200480,?
201580,버튜버 채팅창같음 진짜로
202113,무르디 반갑다
202820,채팅 글귀는 똥내나야 맛있긴해요
204041,물쥐 나이에 맞게 변화하는건가
204399,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
205106,💩💩💩💩💩💩💩💩💩💩💩
205444,ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
206037,{:d_126:}
207854,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
210393,근데 좀 두꺼웠음 좋겠는데 너무 얇아용
211916,귀찮을것도 많노
212529,유툽 구독은 ㅋㅋ
217233,물쥐님이 제일 잘 안보이는걸로 해주세요! 밴못하게요!!
218309,난 아직 유튜브 구독 안했어 돈없어서
222275,반갑다^모^
222471,근데 두거우면 괜찬ㅇ흥 거 같기도
225759,{:monsMonsCheer:}{:monsMonsCheer:}{:monsMonsCheer:}{:monsMonsCheer:}
226564,ㄹㅇ 잘보이긴 하네
227473,니부터 밴이다
227513,{:monsMonsYada:}
228515,ㄹㅇ
229110,다시 롤 점령기가 불어온다...야다
231022,폰트 ㄹㅇ 에바임
232433,ㄹㅇㅋㅋ
232822,{:d_116:}
235268,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
236335,ㅋㅋㅋㅋㅋㅋ
237848,채팅 주시자는 못피해
238992,ㅋㅋㅋㅋㅋㅋㅋ
239915,{:d_112:}{:d_112:}{:d_112:}{:d_112:}{:d_112:}
240202,ㅋㅋㅋㅋㅋㅋ
240368,굄우지 묵땨J
241450,벤 어게인
242184,ㄹㅇㅋㅋ
243349,헉
245416,ㅋ 공익이 싸봤자 얼마나 맞춘다고
246448,탯카이해
246578,채팅장 주시자
248452,총알드립이노
248904,밴좀 그만해
250428,캠켜줘
250588,siuuuuuuuuuuu
254113,안녕하세여🧐
254513,쥐하
255121,총능아
260979,릴빨리펴
262983,쥐하
263451,ㅅㅅㅅ
265757,크랙
265886,쥐하
267545,밴 적당히 해라 시청자가 만만하냐?
267654,대 물 쥐
268422,콜옵 개지리던데
268435,쥐하~
271048,방제 습박 ㅋㅋ
272201,물쥐야 콜옵 신작 봤냐?
273077,왜너가바꾸고 모른척해
277663,콜옵이미 봤어
282295,근데 밴당할짓을 안하면 됨..
282326,모모모
282471,원래쓰던게 귀여운거같은데
285567,보랏빛 배앰
287395,롤 실력은 몰라도 채팅창  시야는 페이커 저리가라임
287907,ㅋㅋㅋㅋㅋ
288307,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
289035,ㄹㅇㅋㅋ
291398,ㅋㅋㅋㅋㅋㅋㅋㅋ
292604,티모원딜도 탑이랑 템 똑같이 감?
292783,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
292946,나갈래?
292965,학
293009,헉\
293047,ㅂㅂ
293077,헉
293163,나갈래?
293317,ㄹㅇ
294154,잘가라
294312,헉
295049,헉
295408,헉
295435,ㄷㄷ
295439,헉
296024,ㄹㅇㅋㅋ
296120,헉
296645,나갈래??
296929,{:d_116:}{:d_116:}{:d_116:}
296986,나가자
297249,헉
297374,서걱
297441,ㅋㅋ정신나갔지
