timestamp,chat_text,top_emotion,joy_pct,embarrass_pct,anger_pct,anxiety_pct,hurt_pct,sadness_pct,neutral_pct
4.0,++++ :+ F-t 승t,중립,2.68,4.18,4.88,4.41,2.82,5.51,75.51
5.0,[-,중립,3.99,11.0,4.9,10.88,2.81,11.03,55.39
6.0,+1+1!,중립,3.65,7.69,9.15,3.07,4.45,5.21,66.77
7.0,1+ +++++1+ ++ 원기,중립,2.2,3.0,5.96,2.76,3.64,4.04,78.39
8.0,I,중립,5.45,10.73,4.89,10.68,2.56,9.71,55.97
9.0,++++! _--+ - I LEIz!,중립,4.76,35.56,9.65,2.09,4.54,3.98,39.41
10.0,"""+!]",중립,10.35,8.76,11.9,3.0,5.51,6.15,54.34
11.0,[+ ++ ++'++,중립,2.47,3.22,5.47,3.01,3.16,4.16,78.51
12.0,++++1,중립,2.42,3.38,5.35,3.26,3.1,4.55,77.93
13.0,++++1,중립,2.42,3.38,5.35,3.26,3.1,4.55,77.93
14.0,++++1 ',중립,2.72,4.46,4.97,4.85,2.93,6.02,74.06
15.0,++++1,중립,2.42,3.38,5.35,3.26,3.1,4.55,77.93
16.0,11+ ++++++,중립,2.58,3.08,5.86,2.62,3.34,3.89,78.63
17.0,++++++ +,중립,2.53,3.28,5.47,3.1,3.18,4.29,78.15
23.0,'+++,중립,3.43,3.76,5.16,3.3,2.74,4.61,77.0
24.0,"-+ -++닉! 여{이 """,중립,2.22,3.24,6.13,2.96,3.73,4.41,77.31
25.0,+-+ -+,중립,3.73,4.83,4.77,4.92,2.6,6.15,73.01
26.0,+-+ -+ 여{이 있기,중립,2.34,2.97,6.53,2.56,3.94,3.93,77.73
27.0,+++,중립,3.33,3.77,5.13,3.42,2.72,4.67,76.96
29.0,이알년,중립,2.94,3.51,5.67,2.88,3.13,4.48,77.39
32.0,이말던 -,중립,2.41,11.39,5.62,12.94,3.8,15.07,48.76
33.0,+21 --+ + I,중립,3.17,4.15,5.08,4.01,2.8,5.3,75.48
34.0,++++ ++ ++로 - -,중립,2.76,3.99,4.98,4.24,2.88,5.35,75.79
35.0,+++ 비+ ++- 다,중립,2.64,5.24,4.97,6.2,3.01,6.71,71.22
36.0,+++ 나+ -의,중립,2.24,3.37,5.55,3.29,3.3,4.71,77.55
37.0,++ - -+의,중립,2.83,12.77,5.43,14.02,3.61,15.64,45.71
38.0,+,중립,5.9,7.35,4.76,7.77,2.55,7.55,64.12
39.0,111 + 있,중립,2.31,3.42,5.89,3.1,3.53,4.64,77.11
40.0,It -,중립,4.03,19.26,5.1,15.2,3.86,18.65,33.91
41.0,:411'+ +++++!,중립,2.73,6.51,7.84,2.88,3.64,4.42,71.98
42.0,111+ +++++!,중립,2.92,6.54,8.16,2.84,3.76,4.49,71.29
43.0,++',중립,4.08,4.87,4.69,5.19,2.57,5.91,72.69
44.0,++' +t 주++ -_ n이d,중립,2.21,3.38,5.43,3.42,3.24,4.72,77.59
45.0,{ 1E1I E-4,중립,3.13,4.1,4.91,3.92,2.65,5.18,76.1
46.0,+++ ++- -{이 가레도' - ',중립,2.16,3.66,5.4,3.78,3.35,5.09,76.55
47.0,내{이,중립,2.63,3.26,6.07,2.69,3.49,4.25,77.62
48.0,+ ++ -,중립,3.33,4.5,4.85,4.44,2.7,5.56,74.62
49.0,Yo '+++ +- 대{히,중립,2.15,3.62,5.27,3.77,3.14,5.05,77.0
57.0,Tfteiott,중립,2.58,3.32,5.64,2.95,3.23,4.29,78.0
58.0,-,중립,4.23,20.56,5.18,13.77,3.88,18.46,33.93
59.0,++++,중립,2.77,3.29,5.45,2.87,3.03,4.17,78.42
60.0,-드+t It,중립,2.74,3.61,5.29,3.26,2.95,4.58,77.57
61.0,Hr,중립,3.53,4.13,4.97,3.88,2.6,5.08,75.79
62.0,Firi!,중립,8.51,7.88,11.96,2.9,5.83,6.44,56.48
63.0,Wii!,중립,11.47,9.25,12.69,3.41,6.69,6.5,49.99
64.0,Fi-itl +,중립,2.47,3.98,5.15,4.51,3.08,5.23,75.59
65.0,Fiuit +1 -,중립,2.07,4.15,5.34,4.8,3.41,5.84,74.39
66.0,++!,중립,6.95,7.7,11.21,2.65,5.03,5.79,60.67
67.0,"+ ""++! ''",중립,4.13,19.65,5.13,14.63,3.8,18.38,34.28
68.0,++! 이많다 T-,중립,3.63,4.01,4.98,3.57,2.53,5.09,76.18
69.0,Th  f hl -,중립,2.52,3.62,5.37,3.41,3.06,4.72,77.3
70.0,+++_ 1-4,중립,3.86,4.84,4.71,5.34,2.68,6.24,72.32
73.0,나다! +- +++++t,중립,3.54,4.16,4.78,4.22,2.52,5.4,75.39
74.0,+'나! +-,중립,3.09,4.43,4.8,4.75,2.76,5.57,74.61
75.0,111 +'나! |,중립,2.98,7.05,8.1,3.11,3.93,5.19,69.64
