timestamp,chat_text,top_emotion,joy_pct,embarrass_pct,anger_pct,anxiety_pct,hurt_pct,sadness_pct,neutral_pct
0.0,11 절치부 명훈이가,중립,1.33,3.23,7.83,3.88,6.57,5.02,72.15
1.0,하는 철쳐 명훈이가 -],중립,1.27,3.34,7.54,4.21,6.4,5.18,72.07
2.0,Hi 하는 명훈이가 허풍 리이명,중립,1.39,2.81,8.5,3.07,7.55,4.08,72.6
3.0,크크크크 코크코 앞무빙한 리이망,기쁨,51.63,2.73,8.61,2.45,7.31,3.43,23.84
4.0,크크크크크 턱신의 절치 명훈이가앞무빙한게 :,기쁨,51.34,2.85,9.3,3.11,9.45,3.93,20.03
5.0,크크크크크크 턱신의 절치,기쁨,51.16,4.51,7.32,7.18,6.83,6.88,16.12
6.0,터신의 절치부심 명훈이가 앞무빙한게 위로 차리이망 ++--,중립,1.48,2.81,7.82,2.99,6.29,4.04,74.57
7.0,- 느드크트트크스트 명훈이가앞무빙한게 임,중립,31.56,2.72,7.8,2.7,6.17,3.81,45.24
8.0,? 명훈이가 194 임 이건,중립,1.98,2.87,6.8,2.66,4.43,3.88,77.38
9.0,명훈이가 앞무빙한게 : 어우,중립,1.68,2.96,7.02,3.07,5.02,4.41,75.83
10.0,성명훈이가앞문빙한 어워 F이스i O-,중립,2.06,2.97,6.26,2.83,3.93,4.12,77.82
11.0,오히 : 아까비,분노,2.05,3.23,46.59,3.09,4.24,4.66,36.14
12.0,아들다맞았어 % 였네,중립,2.24,3.48,5.8,3.51,3.57,4.93,76.47
13.0,아들다맞았어 8 였네,중립,2.13,3.12,6.2,3.02,3.91,4.45,77.18
14.0,아들다맞았어 오평타칠때살했 였데,중립,1.87,3.05,6.61,3.13,4.46,4.52,76.36
15.0,둘다맞았어 오평타칠때살 32 였데,중립,1.8,3.06,6.72,3.14,4.56,4.55,76.18
17.0,때잘했는데는 --- 갱이와버렸데,중립,16.72,3.14,6.62,3.26,4.53,4.66,61.07
18.0,궁 갱이 와버렸데 일분로각줬네 바는거엿구 T,중립,16.46,2.9,6.97,3.21,5.48,4.17,60.81
19.0,갱이와버렸너 [: Fi i:,중립,16.76,3.45,6.19,3.9,4.19,5.13,60.38
21.0,T -,중립,4.41,21.55,5.41,12.14,3.89,18.19,34.42
22.0,아 아 미극어이尙燁 빨앗데oop,중립,2.04,3.01,6.49,2.9,4.19,4.17,77.2
23.0,아 비솔리리 한명만 맞아야됐는 - 201 기종은적,중립,1.67,2.91,7.37,2.94,5.31,4.29,75.5
24.0,-~ 비솔라리 던트 바기를까먹은 솔라리 322 팀 보호막 3200 130 18어느eY 가죽0 신대90치 야군들에게290360야군시의피해를흡수하는보호막을부여합니다 |의피는 몸수량은25츠에 건처 점차감소합니다 자세한정보물보려면[5t]키를눌리주게,중립,1.45,2.78,8.1,2.93,6.68,4.03,74.03
25.0,의솔라리 던트 바이를까먹은 안괜찮아 2200 기종은적,중립,1.91,2.87,6.92,2.72,4.64,4.07,76.86
26.0,바이를 까먹은 의솔라리 안괜찮아 크 저즈 아을 끼브 2200 3 2200,중립,1.54,3.01,7.44,3.27,5.6,4.45,74.68
27.0,리솔라리 조정 [106 2200 음요 속도325 9900 스일가속 110 이동속단345,중립,1.78,2.95,6.99,2.99,4.91,4.32,76.06
28.0,리솔라라 던는 600 I' Iozr쿠yt 2200 250 기종은적 명석항의이의오니아장화 9900,중립,1.62,2.82,7.19,2.96,5.34,4.02,76.05
29.0,1세트 생각의 나네 일부러네 꼬브꼬브,불안,2.81,9.65,5.3,32.74,7.71,18.14,23.65
30.0,게임이터졌을 빤거엿어,중립,1.93,3.0,6.83,2.93,4.54,4.35,76.42
31.0,게임이터졌을즈 일부러반거엿어 는,불안,3.1,9.86,5.08,31.63,6.65,17.72,25.97
32.0,게임이E 터졌을지도 부러빤거엿어 명훈이기,중립,1.98,2.81,7.11,2.6,4.77,3.89,76.85
33.0,| 꼬브끼브 20 0 일부러뻔빤거엿어 - 명,불안,4.06,11.15,4.88,29.97,5.44,16.04,28.46
34.0,+HI 일부러빤거엿어 명훈이기,중립,2.17,2.86,6.83,2.53,4.33,3.87,77.41
35.0,11 Fs레링 명훈이기 교no 줘줘이야,중립,1.83,2.86,6.95,2.76,4.74,3.98,76.87
36.0,눈구 그 일부런빤커엿에 1병운,중립,1.78,2.84,7.05,2.78,4.91,4.04,76.6
38.0,받거엿어 명훈이기,중립,1.9,2.91,6.83,2.79,4.59,4.08,76.9
39.0,쉐줘이야 침봄 크크코크 티쿄크레크크터 - 다 +,기쁨,51.38,3.96,6.43,5.02,5.15,5.14,22.92
40.0,크크크크 크티크코크크크터 ㅋ티코 - 990,기쁨,59.88,6.92,10.7,2.25,5.7,4.21,10.34
41.0,Enr,중립,2.79,3.45,5.35,3.15,2.95,4.39,77.93
42.0,"크크크크퇴 프브브_느는 ""e ""-"" 다수",기쁨,51.83,10.26,4.49,17.71,3.49,11.26,0.95
44.0,:,중립,4.22,20.43,5.15,13.96,3.87,18.47,33.9
45.0,희는느느느트는 코크코,중립,2.44,3.79,6.78,2.89,4.79,4.06,75.26
46.0,코크크크크크크크 크크티크크트,기쁨,60.99,7.89,12.5,2.19,6.9,4.06,5.48
47.0,0 나를,중립,12.67,12.18,5.5,14.9,3.06,9.24,42.46
48.0,코크크크크코,기쁨,64.88,8.25,11.19,2.19,5.2,4.39,3.9
49.0,프一__니는 크크크크카,기쁨,51.82,3.15,7.3,2.86,5.46,3.92,25.49
50.0,三___브 크크크칸 R 그,기쁨,46.83,2.85,7.86,2.48,6.15,3.46,30.36
51.0,크크크코 삼 그,기쁨,46.83,3.89,12.79,3.8,17.06,4.23,11.4
52.0,코크크 비됨이어,중립,31.99,2.85,6.5,2.58,4.19,3.76,48.13
53.0,코크카 一一一一니 바이맞기전에,중립,1.62,2.77,7.52,2.72,5.62,3.88,75.88
54.0,一一一一브 크크크크크 바이어맞기전에 ]] 14,기쁨,51.6,2.84,6.86,2.79,4.9,3.82,27.19
55.0,드느느는트려 바이맞기전에플쓰면 +1|,중립,1.8,3.22,6.82,3.37,4.65,4.76,75.39
56.0,하맞기전에 각보이면 못참긴해크크 히링 등,기쁨,30.47,8.31,5.43,29.55,8.35,16.96,0.94
57.0,"교 ""나 탈주할까 킹크크티크크",기쁨,51.62,3.5,12.68,3.7,17.4,4.19,6.91
58.0,준사랑단크크 는,기쁨,40.2,12.78,5.28,18.78,3.61,10.08,9.27
59.0,리 코레크크크레크크크 명훈사랑단구고,기쁨,52.0,3.73,13.98,3.56,19.16,3.96,3.61
60.0,크크크크크크크 ]키 생각해야해 층,기쁨,45.35,8.65,4.61,22.31,5.55,12.69,0.85
61.0,바이가바텀만,중립,2.08,3.16,6.35,2.93,4.05,4.44,76.99
62.0,바이가 명 라컨 명사단크크 E_x보l_It,중립,31.35,2.86,8.02,3.13,6.76,4.06,43.82
63.0,명 명사단크크 그런거였군 크크크크트,기쁨,52.35,4.0,14.39,3.16,18.45,3.78,3.88
64.0,명사단크 그런거였군 크크크크크 저기또바팀만파려니,기쁨,52.05,3.87,14.33,3.61,20.63,3.98,1.53
65.0,그런거였군 一一三一一上 ' 저기또 ?' 가러프리쵸 껌음,중립,1.26,3.11,10.66,3.74,12.96,4.31,63.97
