time_ms,chat_message,label
15578,쥐하,6
16434,G하,6
24232,생각보다 일찍왔구ㅡ나,6
26043,ㅎㅇ,6
29825,뭐야 겁나 일찍왔네,6
30971,왜캐일찍옴,6
31651,지옥 야다..,3
32491,쥐엔장,3
33731,물쥐야 빨리 유ㅏ라,6
34334,야다,3
34822,야호 티모원딜이당{:mlb_76:}{:mlb_76:},0
35128,쥐하,6
37704,GD,6
37874,왔구나 이놈,6
38041,안녕하세요 티모원딜님,6
38914,쥐하,6
39959,ㅎㅇ,6
40022,티모원딜 렛츠고,6
41098,쥐하,6
41208,가보자,6
41788,협곡두걔쟤,6
42229,티모원딜 왜 빠진거임,6
42405,그래,6
42741,{:d_43:}{:d_43:}{:d_43:},0
44843,쥐하,6
44949,음 그래그래 바로 봐주마 쥐-하,6
45219,쥐하,6
45479,티모원딜 그만해 ㅋㅋ,6
45915,티모원딜습박 ㅋㅋㅋㅋ,0
46350,티모원딜 뭐지요....,1
47986,방제,6
48290,{:d_131:},6
48325,^모^,0
48432,오긴왔네,6
49028,bj티모원딜님,6
49194,{:sd_8:},6
50113,{:d_44:}{:d_44:}{:d_44:},0
51830,안녕하십니까 오랜만에 찾아왔습니다,6
51950,ㅋㅋㅋㅋㅋㅋㅋㅋ티모원딜 맛들렸네,0
52858,쥐하,6
53718,레쓰게릿~,0
55740,어제 그리 맛보더니 중독되어버렸구나...,6
56075,채팅 글씨체 바꼇네,6
57007,반갑다,6
57841,^모^,0
58443,{:d_46:}{:d_46:}{:d_46:}{:d_46:},0
58864,쥐하ㅏ,6
59038,무첫다리 쥐모?,6
59210,빨리도 오는구나,6
59213,쥐하{:d_53:},6
59831,결국 원챔충 가는구나....,6
59921,티모원딜만하자,6
60083,................,6
60541,ㅇ,6
61102,섹,6
61967,채팅 글씨체 우ㅡㅓㄴ래 저럼?,1
62294,쥐하,6
62360,티모가 유튭 잘나와 개카님이 그랬듯이 우리도 가자,6
62366,오늘 티모로 죽어보자 그냥,6
62881,쥐하,6
63072,ㅋㅋㅇㅋ,6
63904,모~ 어게인,6
64086,쥐하,6
66403,쥐하,6
68022,그래 반갑다,6
68760,그래그래 물쥐야 어서오너라,6
68859,쥐는 쥐하는게 맞아,6
69087,스,6
69923,쥐하,6
70001,티모 좋아요?,6
70796,티모원딜은 보는게 재밋긴하더라,6
72496,채팅창 글씨 뭐임 ?? ㅋㅋㅋㅋ,1
74196,스,6
75286,신스킨나왔어 물쥐님,6
75669,siuuuuu,0
76429,{:d_99:}{:d_99:}{:d_99:}{:d_99:}{:d_99:}{:d_99:},6
77470,주하모,6
78503,글씨체 왜이럼,6
79621,즐똥하셨나요 물쥐님,6
79655,쥐하,6
80252,큐돌려 물쥐님,6
80315,스,6
80712,오늘 똥은 어땠어 물쥐님,6
82964,{:d_73:}{:d_73:}{:d_73:}{:d_73:},1
83599,틀딱 폰트 뭐냐,6
84215,왜케 빨리 왔어?,6
85111,드디어 기어나온 괴물쥐!,6
85599,채팅창 폰트 머삼;,6
87864,글씨체 틀딱인데,6
88977,^모^,6
89039,물쥐님 채팅이 이상해,6
89788,개빨리오네,6
90219,쥐하,6
94749,롤이다 롤 ㅋㅋㅋㅋㅋㅋ,0
95555,고 ㅣ 티 물 모 쥐,6
96148,채팅창 뭐여,6
97205,채팅창 폰트 개 틀딱같은데,6
97815,게이,6
99451,채팅창 폰트 ai같네,6
101557,왤케 늦게 기어들어오ㅓ,6
101788,틀딱같네 폰트,6
102761,{:mlb_62:},6
105825,저거 뭐임 틀글씨체,6
106557,굿모닝,6
106643,괴물쥐 하이라는뜻,6
106649,{:d_126:},3
108215,누가 바꿧어 채팅창 언년이야,6
108810,틀딱폰트머임?,6
109934,채팅 롤백해라,6
110633,나눔고딕같네,6
111838,와 진짜 개틀딱 같긴하네,6
112200,여친이 글씨체 바꿔놨네,6
115953,{:monsMonsKiss:},6
115961,물쥐야 하이 밥 먹었냐,6
116046,hi,6
119141,채팅 폰트 딱딱하네,6
121813,쥐하,6
122007,{:d_187:},6
123340,{:d_59:},0
124554,물쥐야 결혼 축하한다잉,6
125229,틀 ㄸ이 클린봇걸리네,6
