time_ms,chat_message,label
4636758,ㅋㅋㅋㅋㅋ,
4639303,와 미쳤다,
4641852,어두워서 아무것도 안 보임,
4643990,와 미쳤다,
4646347,으악 ㅋㅋㅋㅋ,
4647360,답답해서 내가 한다,
4649617,와 미쳤다,
4652423,어두워서 아무것도 안 보임,
4654646,ㅋㅋㅋㅋㅋ,
4656576,소리 좀 줄여봐,
4659546,지피티 쫄았죠?,
4660682,또 도망가네 ㅋㅋㅋ,
4663056,여기 오른쪽 문 열어보셈,
4664364,도망쳐 빨리!!,
4667164,도망쳐 빨리!!,
4669544,으악 ㅋㅋㅋㅋ,
4671355,레전드 ㅋㅋㅋㅋ,
4673998,111111,
4675507,또 도망가네 ㅋㅋㅋ,
4677983,레전드 ㅋㅋㅋㅋ,
4680854,으악 ㅋㅋㅋㅋ,
4682258,와 미쳤다,
4683350,깜짝이야 ㄷㄷ,
4686076,여기 오른쪽 문 열어보셈,
4687117,소리 좀 줄여봐,
4688454,으악 ㅋㅋㅋㅋ,
4690640,여긴 무조건 귀신 나온다,
4692320,지피티 쫄았죠?,
4693361,또 도망가네 ㅋㅋㅋ,
4694393,???,
4696677,깜짝이야 ㄷㄷ,
4698254,또 도망가네 ㅋㅋㅋ,
4701072,도망쳐 빨리!!,
4703433,111111,
4706094,여기 오른쪽 문 열어보셈,
4709045,지피티 쫄았죠?,
4711586,와 미쳤다,
4713097,아 식겁했네,
4715412,ㅋㅋㅋㅋㅋ,
4716865,으악 ㅋㅋㅋㅋ,
4718050,???,
4720020,여기 오른쪽 문 열어보셈,
4722907,갑툭튀 뭔데 미쳤네,
4724200,어두워서 아무것도 안 보임,
4725669,여긴 무조건 귀신 나온다,
4727189,???,
4729239,레전드 ㅋㅋㅋㅋ,
4731705,소리 좀 줄여봐,
4733660,레전드 ㅋㅋㅋㅋ,
4735881,어두워서 아무것도 안 보임,
4737240,갑툭튀 뭔데 미쳤네,
4739882,으악 ㅋㅋㅋㅋ,
4741618,아 식겁했네,
4744312,레전드 ㅋㅋㅋㅋ,
4746200,갑툭튀 뭔데 미쳤네,
4748168,어두워서 아무것도 안 보임,
4750936,소름 돋았어,
4751997,어두워서 아무것도 안 보임,
4754310,깜짝이야 ㄷㄷ,
4756547,열쇠 어디 있음?,
4757750,소리 좀 줄여봐,
4760291,도망쳐 빨리!!,
4762446,소리 좀 줄여봐,
4764322,답답해서 내가 한다,
4766845,깜짝이야 ㄷㄷ,
4769106,레전드 ㅋㅋㅋㅋ,
4771910,여긴 무조건 귀신 나온다,
4774680,으악 ㅋㅋㅋㅋ,
4776270,갑툭튀 뭔데 미쳤네,
4777686,111111,
4780028,아 식겁했네,
4782255,소리 좀 줄여봐,
4784587,소름 돋았어,
4785891,아 식겁했네,
4788101,도망쳐 빨리!!,
4790128,아 식겁했네,
4791436,레전드 ㅋㅋㅋㅋ,
4794415,또 도망가네 ㅋㅋㅋ,
4795465,소리 좀 줄여봐,
4796684,여긴 무조건 귀신 나온다,
4798998,소리 좀 줄여봐,
4800836,어두워서 아무것도 안 보임,
4803808,도망쳐 빨리!!,
4804911,지피티 쫄았죠?,
4807035,소름 돋았어,
