time_ms,chat_message,label
6840720,찝엔딩ㅜㅜ,3
6840984,찝찝하다,5
6841379,태초마을 ㄱㄱ,6
6841387,찝찌배,5
6841736,다시하죠 ㅎㅎ,6
6841867,나빠자ㅠㅠ,3
6842691,진엔딩 봐요,6
6843311,찝,5
6843758,진엔딩 봐요 ㅎㅎ,6
6843854,나빠다ㅠㅠ,3
6844559,찝엔,6
6845087,찝찝맨,6
6845239,진엔딩 ㄱㄱ,6
6845702,찝누,6
6845723,처음부터 다시,6
6845848,다시 ㄱㄱ,6
6846151,치지직에 남을껄,6
6846791,{:d_120:}{:d_120:},3
6846794,첨부터 ㄱㄱㄱㄱ,6
6846907,찝찝맨...,5
6848312,지누엔딩 ㄱㄱ,6
6848736,해보죠,6
6849188,세이브 켜봐요 ㅎㅎ,6
6849300,다시하죠,6
6849393,진우엔딩 봐요,6
6849529,진엔딩봐요 ㅎㅎ,6
6850374,진엔딩 ㄱㄱ,6
6850492,해보죠,6
6850988,첨부터 ㄱㄱㄱㄱ,6
6851930,떠난다도 봐용,6
6852171,진엔딩 볼까요 ㅎㅎ,6
6852428,숲 떠나서 치지직으로 이적하나보다,6
6853180,해봐여,6
6853302,d이거 칠라스아트임?,6
6854303,날 떠난다는 그 여자,6
6854409,떠나가ㅏㅏㅏㅏㅏㅏㅏㅏ,6
6855202,진사,6
6856134,처음부터 해요 ㅎㅎ,6
6856236,지누엔딩,6
6857252,진사,6
6857456,진엔딩 ㄱㄱ,6
6857797,마리아~~,6
6858101,헉,1
6858105,진엔딩 ㄱㄱㄱㄱㄱㄱㄱ,6
6858438,진사,6
6858622,ㅎㅎ,6
6858659,저장안되어있으면 웃기겠다,6
6858980,모르죠,6
6859211,처음부터 ㅊㅊㅊㅊㅊㅊㅊㅊㅊㅊ,6
6859666,SOOP엔딩 ㅊㅊㅊ,6
6859676,"겜 이름이 ""케인 족음케인""이라고?",6
6859774,진사,6
6860504,진사,6
6861901,사람인가봐,6
6862036,진사,6
6862588,숲에남을껄!!!!!!!!!!!!!!!,6
6862722,헐,1
6862792,사진 찍히니까 사람인듯,6
6863440,진엔딩 봐주세요,6
6864314,주인공 저주 감염되서 죽인거아님?,6
6865186,어떡행,6
6865565,태초 ㅊㅊㅊ,6
6867055,어떡해,6
6867272,코코,6
6869276,Coco,6
6870530,딩당딩,6
