time_ms,chat_message,label
1783492642020,레오나 ㅋㅋㅋㅋㅋ,1
1783492642048,포킹딜 습박 ㅋㅋ,1
1783492642615,레오나 반피,6
1783492642870,개아프네,6
1783492642965,레오나 말랑말랑,6
1783492643003,지투 화이팅,6
1783492643200,밴시 컷,6
1783492644062,레오나 반핃 ㄷ,1
1783492645945,직스 개쎄ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,6
1783492646677,직스 너무 컷다,6
1783492646692,레오나 죽는다,6
1783492647020,포킹 딜 습빡ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,1
1783492647079,직스 w 딜이 왜저럼,6
1783492647270,존야 밴시 플 있는 직스 어케 잡음ㅋㅋㅋ,6
1783492647326,결론은 수련회메타네 ㄷㄷ,1
1783492648711,진짜 폭탄던지네,6
1783492648936,레오나가 저렇게 체력 빠지는 게 맞냨ㅋㅋㅋ,1
1783492650327,직스딜 ㄷㄷ,1
1783492651152,레오나 궁 하나에 어떻게 될 지 모르긴 함,6
1783492651772,직스 딜 미쳤긴 하네 근데,6
1783492651989,g2는 이미 헤어졌다,6
1783492652066,레오나 말랑한데 이제,6
1783492655413,도란이 딴거임 따인거임?????,6
1783492656717,직스만 노리겠네,6
1783492656957,레오나부터 족치자 그냥,6
1783492657079,{:lck_2:}{:lck_2:}{:lck_2:}{:lck_2:}{:lck_2:}{:d_48:}{:d_48:}{:d_48:}{:d_48:},6
1783492658119,밴시 금방 도는데,6
1783492659581,위치 특정,6
1783492659684,지속딜 급인데 직스,6
1783492659899,걍 이즈던져주고 딜해라,6
1783492660653,가자,6
1783492661350,쌈싸먹힌다,6
1783492661802,시야좋다 ;ㅅ;,6
1783492661836,카밀뺑돈다,6
1783492662193,ㅓ,6
1783492662343,카밀 개무섭네,5
1783492663082,직스를 직켜라,6
1783492663870,ㅋㅋㅋ,6
1783492664698,누구 따이면 이제 끝이야,6
1783492665232,케리아 언제 절로갔냐 ㅋㅋ,6
1783492665262,대황투ㅋㅋ,6
1783492666446,폭풍갈퀴때메 치명타템 갈려면 철갑궁밖에 없어,6
1783492666794,지금이야!,6
1783492666953,어우,6
1783492666959,레오나 팔 한짝 날라갔네,6
1783492667167,카밀 위치 개무섭다 진짜 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,5
1783492667313,들켰다,6
1783492670094,어어,6
1783492670818,어우;,6
1783492672056,못먹었습니다,6
1783492672353,{:mlb_4:}{:mlb_49:}{:lck_33:}{:lck_33:}{:lck_33:}{:lck_33:}{:lck_33:},6
1783492672541,베인충 족쳐야하는데,6
1783492673987,베인 더럽다,6
1783492674904,젠지 치면. 채금 ㄹㅈㄷ네 ㅋㅋ,6
1783492675717,진짜,6
1783492677056,베인 풀템나오면 어카냐,6
1783492680448,와 ㅋㅋㅋ,1
1783492680829,어우 직스 딜ㅋㅋㅋ,1
1783492680893,악어는 걍 베인 마크해라,6
1783492682475,불끄고,6
1783492682550,어,6
1783492683092,어우 레오나 피 다 갈렷네,6
1783492683144,직스 개쎄다,6
1783492683965,직스딜보소,6
1783492684407,워 페이즈 딜,6
1783492684758,잡으러 가즈아,6
1783492684793,물어ㅓㅓㅓㅓㅓㅓㅓㅓㅓ,6
1783492684825,알려줘 도란 따였어 딴거야!????,6
1783492685046,이야 직스,6
1783492685651,드가자ㅏㅏㅏㅏㅏ,6
1783492685682,용은 먹었고,6
1783492686734,이러면 유리한데,6
1783492688061,또먹었어,6
1783492688098,?,6
1783492688235,어어어어어어어 나이스인데,6
1783492688316,녹턴 맞아?,6
1783492688641,?,6
1783492689716,?,6
1783492690431,음?,6
1783492690573,좋은데 ?,6
1783492691344,아으,6
1783492692517,좋은데?,6
1783492692771,오너 좋았다,6
