time_ms,chat_message,label
1780572349359,140 190 가능?,6
1780572349878,너무 작으면 이성으로 안느껴지ㅏㅁ,6
1780572349942,아니 님들 뭘 얘기하는지 알잖아,2
1780572350120,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0
1780572350129,30분 시작,6
1780572350151,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0
1780572350387,ㅋㅋㅋㅋㅋ,0
1780572350649,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0
1780572351050,난 160 안넘으면 좋음,6
1780572351108,ㄹㅇ,6
1780572351458,ㅋㅋㅋㅋㅋ,0
1780572351566,190여성은 뭐야,6
1780572351607,ㅋㅋㅋㅋ,0
1780572351839,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0
1780572351841,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0
1780572352145,개억지를 부려 ㅋㅋ,0
1780572352280,190 가능은 하지,6
1780572352432,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0
1780572352447,160은 에바……..,6
1780572352485,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0
1780572352740,ㅋㅋㅋㅋ,0
1780572352913,ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0
1780572352999,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0
1780572353068,ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0
1780572353090,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0
1780572353124,190 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0
1780572353140,ㅋㅋㅋㅋㅋㅋ,0
1780572353447,나가,6
1780572353505,180은 되는데,6
1780572353892,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0
1780572354107,같이 농구할거임?,6
1780572354270,김연경임?,6
1780572354270,ㄹㅇ 억지부리네,6
1780572354378,엄마카세 무시하셈??,6
1780572354423,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0
1780572354514,쌉가능,6
1780572354601,김연경 ㄱㄴ?,6
1780572354920,zㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0
1780572355039,넵,6
1780572355116,ㅋㅋㅋㅋㅋㅋㅋ,0
1780572355157,190 vs 140,6
1780572355176,가능은한데,6
1780572355264,초딩ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0
1780572355602,180은?,6
1780572355670,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0
1780572355761,애들은 가라,6
1780572355910,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0
1780572356400,왜 억지부려,6
1780572356442,대 장 훈,6
1780572356452,.,6
1780572356697,이사람은 결혼했는데요?,6
1780572357030,김연경한테 왜그래,6
1780572357170,ㅋㅋㅋㅋ,0
1780572357503,배구선수냐?,6
1780572357850,있긴해,6
1780572358009,190이 얼마나 된다고,6
1780572358107,..,6
1780572358270,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0
1780572358292,김연경은 뭐야 ㅋㅋ,6
1780572358432,김연경,6
1780572358635,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0
1780572358755,2미터 남자 만나는 소리하네,6
1780572358894,초딩 ㅋㅋ,6
1780572359037,김연경 ㅋㅋㅋㅋ,6
1780572359167,ㅋㅋㅋㅋㅋㅋㅋ,0
1780572359320,175도 어려워,6
1780572359766,있긴해,6
1780572359792,190이 여자임?,6
1780572360182,연경누님 무시ㄴ,6
1780572360191,김연경 선수밈,6
1780572360345,억지 ㄴ,6
1780572360523,"연경이누나,,",6
1780572360905,그럼 보는거지,6
1780572360997,김연경 가능,6
1780572361051,ㄹㅇ 초딩이냐,6
1780572361193,초딩일듯,6
1780572361343,170은?,6
1780572361349,190 ㄷㄷ,1
1780572361551,200은?,6
1780572361848,몇명인데ㅅㅂㅋㅋㅋㅋㅋ,1
1780572362022,애기들은 자러가라 좀,6
1780572362424,190이면 선수잖아,6
1780572362580,룩삼 유튜브에서만 봤는데 이런 대화도 하는구나,6
1780572363579,김연경은 레즈임,6
1780572363707,연경이 누나는ㅇ ㅈ이지,6
1780572364076,농구 선순가 보네,6
1780572364276,북부대공여친ㅋㅋㅋㅋㅋㅋ,6
1780572364287,김연경 키 몇인데,6
1780572364716,연경누나는 인정이지,6
1780572364847,그건 연경누나고 임마 ㅇㅇ;;,6
1780572365246,190 ㄱㄴ,6
1780572366051,그건 남자 2m10이랑 똑같잖ㅇ라,6
1780572366166,난 좋은데,6
1780572366168,전 좋아욯ㅎ,6
1780572367237,연경누나 가능,6
1780572367301,연경누님..,6
1780572367464,서장훈은 어때요?,6
1780572368028,250 가능?,6
1780572368848,연경누님은 인정이지,6
1780572369005,네덜란드 사람들이 키 ㅈㄴ 크다던데,6
1780572369083,배구선수임?,6
1780572369798,다주 2미터자나,6
1780572370823,난 190도 좋은데 만나는건 둘째치고 세상이 억까할듯,6
1780572371442,여성형거인 무시함?,6
1780572371832,야이새기들아 190여자가어딧는데,6
1780572372157,근데 안돼,6
1780572373025,서장훈 vs. 김연경,6
1780572373172,헉,1
1780572373466,연경?,6
1780572374129,190을 좋아하는게 장신페티쉬인가,6
1780572374218,180여자만나보고싶다,6
1780572374434,웸반야마임?,6
1780572374701,ㄱ-,6
1780572375140,김연경도 190은 아니다ㅋㅋㅋ,6
1780572375398,헉,1
1780572375408,헉,1
1780572375823,원래..,6
1780572375981,150안되는건 어떰,6
1780572376035,ㅋㅋㅋㅋㅋㅋ,0
1780572376443,유입 나가고,4
1780572376466,농구배구선수ㄷㄷ,1
1780572376728,헉,1
1780572376845,ㅋㅋㅋㅋ,0
1780572376931,ㄹㅇ ㅋㅋㅋㅋ,0
1780572376948,ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0
1780572376997,헉,1
1780572377750,빨간약ㅋㅋㅋ,6
1780572377832,헉,1
1780572377885,이런방입니다,6
1780572377986,ㄹㅇㅋㅋ,6
1780572378116,가슴 좋아한다고 z컵 좋아하냐,6
1780572378176,유입 나가,6
1780572378320,룩순이 ㅎㅇ,6
1780572378356,헉,1
1780572378361,원래 이런방임,6
1780572378446,이게 빨간약임,6
1780572378552,원래 이런방입니다,6
1780572378775,유튜브를 덜 보신겁니다~,6
1780572378845,봤으면 나가라,6
1780572379109,헉,1
1780572379231,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0
1780572379348,ㄱ-,6
1780572379461,헉,1
1780572379496,{:d_126:},3
1780572379651,{:d_126:},3
1780572379835,유입이셔,6
1780572380046,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0
