time_ms,chat_message,label
3480178,ㄱㄱ,6
3480252,또 공략봄?,6
3480526,드가자잇,6
3480691,공략보고깸?,6
3480881,전국민 결혼 대작전 뭔가요?,6
3480943,ㅁㅊ 벽딸견,6
3480981,드가자~,6
3481466,할건해야제,6
3481591,ㄷㄱㅈ,6
3481674,스크래쳐 ㅋㅋ,6
3481712,ㄱㄱㄱ,6
3481839,드가자ㅏㅏㅏㅏㅏㅏㅏㅏ,6
3481872,드가자~~~,6
3482508,취호전견,6
3482527,{:d_94:},6
3482855,드가자,6
3482923,마추기,6
3483049,드가자,6
3483093,공략컵 인정못해,6
3483106,딸깔루,6
3483212,아...,6
3483254,양,6
3483255,모치양,6
3483346,드가자,6
3483404,포켓몬 맞추기,6
3483449,ㄱㄱㄱㄱㄱ,6
3483579,양과,6
3483645,드가자ㅏㅏㅏㅏㅏㅏㅏㅏㅏ,6
3483710,소원 의 별 언제하나요,6
3483758,또 벽딸을,6
3484202,여전하시네요,6
3484495,애교아님?,6
3484538,애교아님.,6
3484868,공략봄?,6
3485119,모 치즈 키,6
3485193,카에데양,6
3485538,(애교 아님),6
3485544,양~,6
3485556,(애교아님),6
3485689,배경화면이 참 좋네요,6
3485740,드디어,6
3485743,애교 아님 ㅋ,6
3485827,하골 하나?,6
3485894,카에데양...,6
3485910,양,6
3485936,ㄱㄱㄱ,6
3485995,카에데양,6
3485996,(애교아님),6
3486078,드가자ㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏ,6
3486447,드가자,6
3486514,카에데양~~~~~~~~,6
3486587,애교임,6
3486697,윤상,6
3486700,ㄷㄱㅈ,6
3486801,ㄱㄱㄱㄱ,6
3486813,카에데양~~,6
3486846,(애교아님),6
3486881,모치양,6
3486900,범위기 쓰라고 이생퀴야,6
3487044,(애교안님,6
3487063,ㄷㄱㅈ!,6
3487072,모찌줄게 카에데,6
3487132,모치즈키 카에데양,6
3487173,재 드가자,6
3487187,공략 봤네,6
3487217,(애교아님),6
3487335,애교맞음,6
3487340,카에데양❤️,6
3487381,카에데양,6
3487547,ㄷㄱㅈ,6
